"company","price"
"SFM",145.22
"INSM",79.14
"CRDO",49.61
"PCVX",74.03
"RKLB",20.005
"FTAI",110.755
"CRS",193.545
"AIT",232.79
"FN",233.305
"SSB",94.36
"FLR",38.84
"GTLS",161.855
"MLI",79.525
"HQY",89.72
"IONQ",25.45
"GKOS",106.81
"EXLS",46.68
"ENSG",129.82
"SPSC",134.885
"BPMC",93.645
"MOD",90.945
"BECN",123.745
"UFPI",110.29
"ONB",21.39
"CVLT",167.63
"SPXC",139.14
"HALO",63.455
"RVMD",38.82
"EAT",153.68
"TMHC",60.86
"RMBS",59.22
"LNTH",98.74
"AUR",7.545
"COOP",106.94
"CWST",110.83
"BMI",193.21
"CSWI",299.015
"SUM",52.49
"RHP",96.265
"ANF",78.605
"ALTM",5.84
"TRNO",62.89
"HLNE",156.33
"JXN",88.3
"MDGL",343.66
"FSS",77.26
"NXT",45.76
"ALTR",111.73
"GPI",412.37
"JBTM",127.74
"ESNT",56.53
"KNF",94.96
"MMSI",104.2
"HRI",140.91
"STRL",131.55
"MTH",72.51
"HIMS",37.5885
"LUMN",4.94
"GBCI",45.165
"CHX",29.8
"CMC",48.96
"GH",47.15
"WTS",210.98
"SIGI",89.62
"GATX",156.922
"MARA",14.115
"ZWS",34.01
"QTWO",82.13
"ACIW",54.22
"HOMB",28.38
"EPRT",32.345
"BE",23.79
"SMTC",41.06
"CYTK",47.19
"UPST",54.41
"DY",160.23
"PIPR",268.42
"UMBF",104.6
"NOVT",136.625
"QLYS",130.865
"TENB",36.49
"KRG",22.54
"BBIO",36.815
"BCPC",163.605
"UBSI",35.08
"PRMB",32.36
"OPCH",34.82
"ABG",239.515
"KTOS",31.765
"BIPC",36.26
"ALKS",34.845
"AVAV",127.72
"HWC",53.63
"CWAN",27.13
"LRN",125.525
"SOUN",10.21
"WK",87.165
"CORT",59.9414
"CADE",31.12
"BCC",101.89
"CNR",73.75
"BOOT",111.91
"CTRE",29.23
"KTB",64.325
"RDN",32.35
"AROC",27.14
"BDC",104.82
"IBP",175.825
"ITRI",108.355
"VRNS",41.3
"ACA",81.46
"CBT",83.6838
"MAC",17.695
"SKY",96.785
"SM",31.585
"ITGR",117.08
"SITM",187.17
"NSIT",159.17
"FFIN",36.36
"PRIM",65.33
"SLG",59.105
"AEIS",107.14
"EXPO",79.83
"MMS",66.28
"NJR",48.495
"SHAK",93.84
"NE",24.26
"SKYW",94.8
"MATX",132.215
"SLAB",126.37
"CALM",92.18
"SANM",80.43
"MGY",25.01
"SFBS",83.82
"PECO",35.665
"VLY",9.095
"FTDR",38.88
"KBH",61.22
"IDCC",221.1
"FELE",97.7
"KAI",343.02
"FCFS",117.69
"BOX",30.65
"AHR",30.37
"VRRM",21.4
"SWX",77.02
"MUR",27.17
"RDNT",51.6
"STEP",56.84
"MC",62.535
"IRT",20.96
"GEO",29.06
"POR",43.49
"ESGR",332.62
"ABCB",59.125
"CNX",31.84
"NARI",79.97
"TXNM",54
"FUN",38.67
"CNO",41.94
"WHD",47.43
"RXO",19.15
"PLXS",130.89
"GVA",77.94
"BCO",86.09
"ASB",22.96
"TGTX",42.1877
"SBRA",17.34
"CBZ",74.255
"BKH",59.24
"SR",76.82
"ENS",98.615
"ASGN",63.3
"GLNG",40.165
"NOG",30.52
"OGS",73.425
"CVCO",525.63
"AVNT",39.23
"PJT",147.8
"KRYS",191.68
"ALE",65.685
"ASO",49.1
"AXSM",127.53
"AX",66.515
"INTA",62.51
"PBH",85.19
"ATGE",102.555
"AI",23.25
"ORA",71.19
"MIR",15.365
"JOBY",6.78
"NPO",177.605
"FRSH",15.825
"URBN",52.155
"ADMA",20.39
"RIOT",8.5392
"KFY",67.395
"MWA",27.43
"RUSHA",55.29
"CRC",43.93
"MHO",119.48
"HAE",64.03
"ATMU",37.84
"LBRT",14.73
"UCB",28.61
"ICUI",148.79
"PTEN",8.395
"ROAD",77.52
"IBOC",64.67
"TDS",37.585
"POWI",56.635
"RELY",20.94
"TCBI",76.975
"PTCT",56.99
"SKT",32.845
"SRRK",32.63
"BHVN",30.1
"ESE",164.35
"REZI",18.245
"BL",50.555
"APLE",13.365
"TPH",32.2
"IRTC",104.595
"CARG",31.305
"HP",25.18
"CRNX",35.34
"PCH",44.92
"SATS",26.73
"SMPL",32.98
"EBC",16.815
"FUL",54.37
"ABM",47.045
"LANC",176.17
"VCYT",32.93
"CDP",27.33
"UNF",197.75
"GMS",74.01
"NWE",55.45
"ZETA",15.555
"SYNA",65.39
"DORM",127.7
"RNA",32.72
"FORM",32.4
"CCOI",68.62
"OSCR",13.705
"TEX",40.325
"ACVA",15.87
"UEC",5.55
"CNK",25.75
"FULT",18.25
"OTTR",81.185
"TRN",29.5
"CBU",58.2
"HL",5.7995
"RYTM",53.15
"PI",91.72
"SXT",73.18
"MGEE",92.025
"BXMT",20.67
"WDFC",235.755
"PATK",87.15
"ATKR",62.79
"AMBA",55.685
"VERX",35.89
"TWST",44.725
"PBF",20.2
"PRCT",60.035
"SNEX",78.27
"BLKB",62.02
"HASI",29.32
"AEO",12.585
"WD",87.71
"TGNA",18.76
"BNL",17.205
"HBI",6.01
"NMIH",35.965
"OSIS",201.405
"CRVL",110.58
"BGC",9.555
"AUB",32.68
"SHOO",26.89
"BRZE",37.31
"TNET",79.465
"VSCO",21.335
"SG",25.81
"HGV",38.71
"PTON",7.205
"VAL",40.32
"MGRC",115.45
"PFSI",102.75
"NHI",74.54
"ALIT",6.165
"NUVL",77.58
"GHC",970.16
"GFF",73.55
"ALRM",56.88
"CORZ",9.065
"WSFS",52.971
"FBP",18.99
"HCC",47.44
"DNLI",14.52
"HEES",95.66
"NVCR",19.86
"NSP",88.23
"IOSP",97.61
"BUR",13.84
"SLVM",65.97
"ENVA",100.94
"CLSKW",0.365
"HTLF",64.67
"AVA",39.745
"ACLX",71.22
"FOLD",8.74
"CVBF",18.97
"VCEL",47.51
"OUT",16.69
"VCTR",61.92
"RIG",3.205
"DIOD",46.965
"DRS",33.7
"HUBG",38.035
"CATY",44.01
"SFNC",20.76
"BWIN",45.23
"PAYO",7.76
"AKR",21.355
"FCPT",28.435
"POWL",192.3
"OII",22.05
"TDW",43.75
"BKU",35.37
"APAM",41.17
"CRGY",11.555
"PLMR",130.7359
