"company","price"
"SFM",172.71
"INSM",72.58
"CRDO",48.69
"PCVX",34.28
"RKLB",22.48
"FTAI",100.75
"CRS",211.92
"AIT",224.11
"FN",220.9
"SSB",89.25
"FLR",34.42
"GTLS",154.13
"MLI",75.16
"HQY",91.42
"IONQ",29.82
"GKOS",86.86
"EXLS",46.54
"ENSG",131.78
"SPSC",144.26
"BPMC",101.835
"MOD",90.36
"BECN",124.17
"UFPI",99.71
"ONB",21.19
"CVLT",174
"SPXC",147.58
"HALO",60.62
"RVMD",39.795
"EAT",128.68
"TMHC",58.94
"RMBS",50.72
"LNTH",107.98
"AUR",7.78
"COOP",117.54
"CWST",118.24
"BMI",228.59
"CSWI",317.94
"RHP",94.77
"ANF",69.44
"ALTM",5.84
"TRNO",56.9
"HLNE",160.37
"JXN",81.24
"MDGL",306.38
"FSS",87.35
"NXT",41.12
"ALTR",111.85
"GPI",411.81
"JBTM",102.59
"ESNT",58.46
"KNF",96.91
"MMSI",93.95
"HRI",113.9
"STRL",166.66
"MTH",68.27
"HIMS",41.88
"LUMN",4.23
"GBCI",41.69
"CHX",24.55
"CMC",45.62
"GH",44.05
"WTS",213.67
"SIGI",88.76
"GATX",147.15
"MARA",13.09
"ZWS",34.76
"QTWO",80.39
"ACIW",54.55
"HOMB",28.36
"EPRT",31.97
"BE",16.32
"SMTC",34.66
"CYTK",36.67
"UPST",52
"DY",182.96
"PIPR",246.58
"UMBF",101
"NOVT",120.01
"QLYS",128.16
"TENB",31.26
"KRG",22.15
"BBIO",38.22
"BCPC",162.74
"UBSI",35.29
"PRMB",33.23
"OPCH",32.81
"ABG",220.71
"KTOS",35.88
"BIPC",37.78
"ALKS",31.4
"AVAV",161.96
"HWC",53.94
"CWAN",22.72
"LRN",160.72
"SOUN",9.19
"WK",66.25
"CORT",73.94
"CADE",30.26
"BCC",92.47
"CNR",74.17
"BOOT",112.31
"CTRE",28.92
"KTB",63.45
"RDN",33.89
"AROC",23.91
"BDC",104.55
"IBP",170.32
"ITRI",107.55
"VRNS",43.85
"ACA",84.02
"CBT",77.5
"MAC",14.97
"SKY",88.16
"SM",21
"ITGR",116.55
"SITM",165.27
"NSIT",133.68
"FFIN",34.42
"PRIM",67.07
"SLG",54.73
"AEIS",110.04
"EXPO",75.38
"MMS",66.25
"NJR",49.1
"SHAK",96.43
"NE",22.18
"SKYW",94.39
"MATX",110.07
"SLAB",107.01
"CALM",92.8
"SANM",78.86
"MGY",20.51
"SFBS",74.23
"PECO",35.41
"VLY",8.9
"FTDR",52.31
"KBH",54.7
"IDCC",212.85
"FELE",87.68
"KAI",293.21
"FCFS",135.56
"BOX",31.17
"AHR",32.41
"VRRM",22.35
"SWX",73.04
"MUR",20.61
"RDNT",53.13
"STEP",53.6
"MC",53.45
"IRT",19.49
"GEO",31.36
"POR",42.38
"ESGR",333.68
"ABCB",60.16
"CNX",30.9
"TXNM",52.56
"FUN",35.73
"CNO",37.35
"WHD",39.97
"RXO",14.36
"PLXS",125.63
"GVA",82.99
"BCO",91.14
"ASB",22.96
"TGTX",37.68
"SBRA",17.28
"CBZ",71.99
"BKH",61.04
"SR",76.04
"ENS",90.71
"ASGN",52.1
"GLNG",39.83
"NOG",24.3
"OGS",78.25
"CVCO",512.03
"AVNT",34
"PJT",142.54
"KRYS",162.29
"ALE",65.49
"ASO",37.8
"AXSM",116.49
"AX",67.67
"INTA",57.68
"PBH",82.98
"ATGE",113.97
"AI",21.98
"ORA",71.17
"MIR",15.95
"JOBY",6.48
"NPO",155.77
"FRSH",14.5
"URBN",53.7
"ADMA",23.71
"RIOT",7.9
"KFY",63.65
"MWA",27.04
"RUSHA",48.43
"CRC",34.94
"MHO",110.53
"HAE",62.49
"ATMU",36.32
"LBRT",11.52
"UCB",28.44
"ICUI",136
"PTEN",5.6
"ROAD",89.35
"IBOC",62.74
"TDS",31.74
"POWI",50.54
"RELY",20.99
"TCBI",70.515
"PTCT",40.65
"SKT",29.29
"SRRK",32.57
"BHVN",22.62
"ESE",164.6
"REZI",17.61
"BL",47.15
"APLE",11.49
"TPH",31.45
"IRTC",135.76
"CARG",28.01
"HP",19.45
"CRNX",33.65
"PCH",38.62
"SATS",23.88
"SMPL",36.91
"EBC",15.27
"FUL",53.66
"ABM",49.64
"LANC",161.45
"VCYT",31.32
"CDP",26.22
"UNF",180.65
"GMS",74.12
"NWE",58.29
"ZETA",13.44
"SYNA",58.06
"DORM",114.95
"RNA",32.28
"FORM",29.81
"CCOI",56.05
"OSCR",13
"TEX",40.49
"ACVA",15.38
"UEC",5.17
"CNK",29.79
"FULT",17.29
"OTTR",81.01
"TRN",24.68
"CBU",56.36
"HL",4.79
"RYTM",64.41
"PI",98.46
"SXT",93.61
"MGEE",90.88
"BXMT",18.91
"WDFC",231.8
"PATK",82.92
"ATKR",66.89
"AMBA",50.14
"VERX",38.99
"TWST",35.93
"PBF",18.44
"PRCT",54.41
"SNEX",92.43
"BLKB",62.54
"HASI",25.44
"AEO",11.11
"WD",72.57
"TGNA",16.44
"BNL",16.03
"HBI",4.8
"NMIH",37.48
"OSIS",220.56
"CRVL",110.52
"BGC",9.41
"AUB",29.1
"SHOO",20.68
"BRZE",31.71
"TNET",80.66
"VSCO",19.26
"SG",19.54
"HGV",38.42
"PTON",6.89
"VAL",35.48
"MGRC",108.5
"PFSI",97.63
"NHI",76.04
"ALIT",5.25
"NUVL",75.43
"GHC",941.54
"GFF",71.09
"ALRM",53.89
"CORZ",8.75
"WSFS",53.06
"FBP",20.17
"HCC",47.3
"DNLI",15.99
"HEES",90.38
"NVCR",17.76
"NSP",64.8
"IOSP",92.24
"BUR",13.95
"SLVM",59.41
"ENVA",93.59
"CLSKW",0.1672
"AVA",41.95
"ACLX",64.65
"FOLD",6.53
"CVBF",18.98
"VCEL",39.26
"OUT",15.64
"VCTR",59.05
"RIG",2.3
"DIOD",39.83
"DRS",41.77
"HUBG",32.4
"CATY",42.72
"SFNC",19.25
"BWIN",40.71
"PAYO",7.11
"AKR",19.37
"FCPT",27.72
"POWL",191.96
"OII",18.35
"TDW",38.01
"BKU",33.63
"APAM",40.02
"CRGY",8.23
"PLMR",155.69
"LIVN",36.28
"GT",11.04
"ASTS",24.75
"USD",41.58
"WNS",59.58
"LCII",78.73
"AWR",79.88
"GNW",6.9
"SDRL",22.47
"INDB",62.21
"CPK",132.38
"UE",18.36
"TTMI",24.91
"CON",21.59
"SIG",60.93
"IPAR",110.37
"FIBK",26.72
"ARWR",13.98
"AZZ",89.58
"NEOG",5.64
"COMP",7.91
"DOCN",32.76
"BOH",68.25
"CNS",77.43
"KNTK",40.12
"TBBK",51.99
"YELP",35.03
"CWT",48.99
"CAKE",50.4
"AIN",63.84
"IESC",240.65
"TOWN",33.85
"FFBC",23.96
"CPRX",24.3
"GPOR",181.49
"HI",20.47
"LAUR",22.65
"ENR",25.88
"MYRG",152.9
"SWTX",46.23
"LXP",8.06
"STNE",13.34
"KLIC",32.76
"CDE",5.45
"JBLU",4.67
"HNI",43.17
"AIR",57.04
"SMR",17.11
"BTU",13.53
"BANF",121.51
"PRK",159.92
"PDCO",31.33
"RPD",24.09
"ZD",31.72
"PAR",59.84
"EPAC",42.05
"MTX",52.98
"SHO",8.58
"ARCB",60.96
"FRME",37.01
"NATL",29.2
"AVPT",17.04
"CXW",22.96
"ICFI",81.06
"RRR",43.68
"CALX",41.99
"VIAV",9.03
"WRBY",16.96
"TNDM",21.29
"PRVA",22.98
"VC",80.54
"ACHR",8.69
"ACLS",52.09
"FLG",11.99
"GSHD",100.59
"PRGS",60.68
"WERN",25.69
"HWKN",119.8
"CURB",23.37
"IVT",27.9
"SBCF",24.37
"SMMT",28.02
"ACAD",15.14
"PSMT",100.43
"EXTR",14.01
"FLYW",9.72
"KAR",19.15
"PPBI",21.11
"MRCY",51.16
"RAMP",26.86
"HURN",148.31
"AGX",165.38
"PTGX",44.28
"SXI",158.3
"MBC",12.24
"AMR",128.38
"ADUS",104.37
"MGNI",12.16
"GBX",43.78
"CCS",54.62
"STRA",86.09
"VSH",13.67
"BANR",62.06
"PLUS",64.1
"RNST",33.32
"AGYS",76.03
"EFSC",52.97
"CNMD",56.97
"RGTI",9.695
"YOU",25.12
"JJSF",131.84
"STNG",40.69
"PFS",17
"PHIN",41.94
"SEM",14.76
"MTRN",79.56
"BANC",13.77
"KYMR",33.58
"NBTB",43.07
"HUT",12.76
"TMDX",92.21
"EVTC",34.48
"RUN",6.98
"OSW",18.33
"BEAM",19.82
"AGIO",29.97
"WAFD",28.87
"LGND",106.35
"HLMN",7.38
"ENVX",6.09
"CRK",21.24
"OMCL",30.49
"IGT",16.75
"EWTX",16.54
"IDYA",20.47
"SYBT",73.53
"TRMK",34.72
"KWR",99.87
"UPWK",13.32
"WSBC",30.38
"TGLS",74.25
"LZB",41.21
"SUPN",32.39
"LMAT",80.44
"FBK",44.62
"MIRM",44.15
"IIPR",54.73
"CABO",175.23
"ATRC",29.07
"MXL",10.63
"ALKT",27.68
"LC",10.3
"DRH",7.59
"GOLF",65.76
"UFPT",197.42
"VSEC",117.1
"OFG",41.23
"KMT",19.96
"NMRK",11.12
"RXRX",4.755
"LGIH",55.93
"CHEF",60.75
"GRBK",59.54
"BATRK",39.94
"ABR",10.22
"ALG",174.03
"NEO",7.84
"ROCK",56.27
"DEI",14.14
"VYX",8.8
"DBRG",8.94
"CASH",81.82
"AGM",176.78
"REVG",35.64
"AVDX",8.23
"PRM",10.64
"TARS",48
"ROG",62.32
