"company","price"
"SFM",174.32
"INSM",72.72
"CRDO",46.11
"PCVX",34.97
"RKLB",22.12
"FTAI",90.7
"CRS",203.95
"AIT",228.39
"FN",212.535
"SSB",87.72
"FLR",35.695
"GTLS",151.57
"MLI",73.49
"HQY",87.24
"IONQ",27.67
"GKOS",77.565
"EXLS",46.88
"ENSG",128.33
"SPSC",142.73
"BPMC",98.58
"MOD",87.3343
"BECN",124.17
"UFPI",99.8
"ONB",20.745
"CVLT",166.745
"SPXC",135.835
"HALO",60.8511
"RVMD",40.81
"EAT",131.405
"TMHC",57.53
"RMBS",49.43
"LNTH",106.73
"AUR",6.925
"COOP",119.61
"CWST",117.33
"BMI",222.83
"CSWI",315.42
"RHP",88.155
"ANF",69.455
"ALTM",5.84
"TRNO",56.61
"HLNE",156.55
"JXN",78.41
"MDGL",333.14
"FSS",84.32
"NXT",41.73
"ALTR",111.85
"GPI",405.822
"JBTM",105.31
"ESNT",57.14
"KNF",94.34
"MMSI",93.675
"HRI",111.55
"STRL",157.74
"MTH",67.1082
"HIMS",35.99
"LUMN",3.5435
"GBCI",41.14
"CHX",24.63
"CMC",45.46
"GH",49.275
"WTS",210.53
"SIGI",87.48
"GATX",145.34
"MARA",13.9407
"ZWS",34.43
"QTWO",79.83
"ACIW",54.06
"HOMB",28.025
"EPRT",32.045
"BE",16.88
"SMTC",33.01
"CYTK",43.23
"UPST",48.43
"DY",173.21
"PIPR",243.84
"UMBF",97.75
"NOVT",121.0586
"QLYS",127.47
"TENB",30.31
"KRG",22.095
"BBIO",38.26
"BCPC",156.54
"UBSI",34.47
"PRMB",33.1
"OPCH",32.01
"ABG",217.76
"KTOS",34.8143
"BIPC",36.96
"ALKS",30.43
"AVAV",156.71
"HWC",52.82
"CWAN",22.88
"LRN",150.56
"SOUN",9.265
"WK",74.56
"CORT",71.25
"CADE",29.8
"BCC",92.53
"CNR",71.11
"BOOT",107.98
"CTRE",29.14
"KTB",60.3
"RDN",32.6
"AROC",23.995
"BDC",101.09
"IBP",166.21
"ITRI",107.535
"VRNS",42.9252
"ACA",82.19
"CBT",77.4
"MAC",14.845
"SKY",87.58
"SM",23.7
"ITGR",125.885
"SITM",158.05
"NSIT",132.63
"FFIN",33.75
"PRIM",64.115
"SLG",53.7128
"AEIS",109.36
"EXPO",77.98
"MMS",66.5795
"NJR",48.74
"SHAK",87.7
"NE",22.51
"SKYW",90.36
"MATX",110.3701
"SLAB",104.31
"CALM",93.2
"SANM",78.44
"MGY",21.23
"SFBS",72.15
"PECO",34.8815
"VLY",8.715
"FTDR",46.05
"KBH",53.86
"IDCC",204.1875
"FELE",85.195
"KAI",293.86
"FCFS",133.11
"BOX",31.11
"AHR",31.75
"VRRM",21.78
"SWX",72.932
"MUR",21.21
"RDNT",52.53
