"company","price"
"SFM",148.79
"INSM",77.94
"CRDO",42.312
"PCVX",70.79
"RKLB",18.4937
"FTAI",115.105
"CRS",187.43
"AIT",233.24
"FN",207.85
"SSB",94.01
"FLR",37.23
"GTLS",153.08
"MLI",77.97
"HQY",88.69
"IONQ",23.865
"GKOS",103.91
"EXLS",47.16
"ENSG",128.37
"SPSC",136.63
"BPMC",90.19
"MOD",80.825
"BECN",123.845
"UFPI",110.48
"ONB",21.545
"CVLT",165.63
"SPXC",134.51
"HALO",64.26
"RVMD",38.22
"EAT",155.625
"TMHC",61.38
"RMBS",55.83
"LNTH",97.35
"AUR",7.485
"COOP",106.84
"CWST",110.885
"BMI",193.78
"CSWI",298.51
"SUM",52.49
"RHP",93.525
"ANF",78.16
"ALTM",5.84
"TRNO",63.22
"HLNE",151.625
"JXN",85.75
"MDGL",336.5
"FSS",79.185
"NXT",43.07
"ALTR",111.85
"GPI",396.74
"JBTM",126.09
"ESNT",58.43
"KNF",93.42
"MMSI",103.42
"HRI",140.29
"STRL",117.47
"MTH",72.855
"HIMS",32
"LUMN",4.13
"GBCI",44.87
"CHX",30.21
"CMC",48.54
"GH",45.37
"WTS",209.8
"SIGI",92.3
"GATX",160.08
"MARA",13.7645
"ZWS",33.745
"QTWO",82.9
"ACIW",55.25
"HOMB",28.615
"EPRT",32.72
"BE",21.99
"SMTC",37.25
"CYTK",43.075
"UPST",49.6
"DY",153.73
"PIPR",254.475
"UMBF",102.81
"NOVT",132.91
"QLYS",130.55
"TENB",36.03
"KRG",22.63
"BBIO",36.51
"BCPC",166.975
"UBSI",34.99
"PRMB",34.15
"OPCH",35.055
"ABG",227.745
"KTOS",31.45
"BIPC",36.76
"ALKS",33.53
"AVAV",123.99
"HWC",53.81
"CWAN",27.19
"LRN",127.855
"SOUN",8.985
"WK",81.235
"CORT",57
"CADE",30.79
"BCC",100.26
"CNR",78.61
"BOOT",108.06
"CTRE",28.5812
"KTB",65.475
"RDN",33.355
"AROC",26.65
"BDC",104.65
"IBP",173.635
"ITRI",105.43
"VRNS",41.77
"ACA",81.91
"CBT",84.03
"MAC",17.36
"SKY",96.76
"SM",30.235
"ITGR",118.58
"SITM",168.165
"NSIT",153.64
"FFIN",36.45
"PRIM",57.935
"SLG",58.43
"AEIS",100.88
"EXPO",82.005
"MMS",67.87
"NJR",48.31
"SHAK",94.455
"NE",24.38
"SKYW",91.175
"MATX",130.67
"SLAB",119.89
"CALM",92.22
"SANM",77.99
"MGY",25.41
"SFBS",83.5
"PECO",35.73
"VLY",9.04
"FTDR",38.03
"KBH",59.4
"IDCC",214.52
"FELE",97.292
"KAI",349.965
"FCFS",120.865
"BOX",31.57
"AHR",29.98
"VRRM",20.88
"SWX",72.11
"MUR",28.4
"RDNT",51.55
"STEP",54.06
"MC",59.76
"IRT",21.03
"GEO",30.265
"POR",43.75
"ESGR",332.91
"ABCB",58.685
"CNX",31.53
"NARI",79.97
"TXNM",53.76
"FUN",36.93
"CNO",42.365
"WHD",46.6
"RXO",19.3
"PLXS",129.75
"GVA",75.46
"BCO",88.15
"ASB",22.769
"TGTX",40.35
"SBRA",17.395
"CBZ",75.14
"BKH",59.54
"SR",77.28
"ENS",94.895
"ASGN",64.1317
"GLNG",39.3
"NOG",30.84
"OGS",73.38
"CVCO",532.88
"AVNT",38.449
"PJT",140.065
"KRYS",183.18
"ALE",65.615
"ASO",48.54
"AXSM",121.71
"AX",64.96
"INTA",61.755
"PBH",85.905
"ATGE",102.44
"AI",22.68
"ORA",69.78
"MIR",15.02
"JOBY",6.455
"NPO",175.5
"FRSH",15.295
"URBN",52.165
"ADMA",20.24
"RIOT",7.81
"KFY",68.66
"MWA",26.275
"RUSHA",55.405
"CRC",44.16
"MHO",117.08
"HAE",64.12
"ATMU",38.045
"LBRT",16.21
"UCB",28.63
"ICUI",144.79
"PTEN",8.3998
"ROAD",72.13
"IBOC",64.055
"TDS",38.74
"POWI",55.04
"RELY",21.28
"TCBI",75.41
"PTCT",55.045
"SKT",32.83
"SRRK",33.26
"BHVN",28.52
"ESE",160.01
"REZI",18.535
"BL",50.215
"APLE",13
"TPH",32.705
"IRTC",105.17
"CARG",29.745
"HP",25.7
"CRNX",34.735
"PCH",45.22
"SATS",26.16
"SMPL",33.915
"EBC",16.82
"FUL",57.23
"ABM",48.001
"LANC",176.58
"VCYT",31.22
"CDP",27.01
"UNF",179.02
"GMS",75.305
"NWE",55.69
"ZETA",14.52
"SYNA",64.93
"DORM",125.56
"RNA",32.22
"FORM",29.7832
"CCOI",61.6039
"OSCR",13.42
"TEX",40.11
"ACVA",14.56
"UEC",5.155
"CNK",25.845
"FULT",18.31
"OTTR",81.055
"TRN",29.031
"CBU",58.045
"HL",5.897
"RYTM",54
"PI",92.895
"SXT",73.49
"MGEE",92.39
"BXMT",20.3
"WDFC",241.515
"PATK",87.45
"ATKR",62.48
"AMBA",52.77
"VERX",35.92
"TWST",41.72
"PBF",19.34
"PRCT",61.895
"SNEX",78.41
"BLKB",62.205
"HASI",29.325
"AEO",11.905
"WD",85.5
"TGNA",18.325
"BNL",17.155
"HBI",5.85
"NMIH",36.59
"OSIS",199.62
"CRVL",112.37
"BGC",9.505
"AUB",31.695
"SHOO",27.13
"BRZE",37.175
"TNET",80.1666
"VSCO",19.62
"SG",26.75
"HGV",37.74
"PTON",6.755
"VAL",40.345
"MGRC",115.73
"PFSI",101.035
"NHI",73.96
"ALIT",6.225
"NUVL",73.495
"GHC",965.26
"GFF",72.125
"ALRM",57.48
"CORZ",7.925
