"company","price"
"SFM",170.56
"INSM",72.13
"CRDO",41.83
"PCVX",35.87
"RKLB",21.97
"FTAI",106.76
"CRS",193.7
"AIT",241.2
"FN",203.24
"SSB",86.56
"FLR",34.69
"GTLS",132.085
"MLI",73.02
"HQY",85.03
"IONQ",27.22
"GKOS",92.14
"EXLS",47.73
"ENSG",128.23
"SPSC",142.85
"BPMC",89.43
"MOD",80.07
"BECN",124.17
"UFPI",98.505
"ONB",20.665
"CVLT",166.425
"SPXC",133.11
"HALO",60.985
"RVMD",40.595
"EAT",134.495
"TMHC",56.925
"RMBS",48.14
"LNTH",104.1
"AUR",7.195
"COOP",119.655
"CWST",117.65
"BMI",221.54
"CSWI",314.9
"RHP",87.51
"ANF",68.615
"ALTM",5.84
"TRNO",56.03
"HLNE",153.015
"JXN",77.19
"MDGL",340
"FSS",81.51
"NXT",39.83
"ALTR",111.85
"GPI",402.1
"JBTM",104.36
"ESNT",56.855
"KNF",92.96
"MMSI",94.56
"HRI",108.83
"STRL",148.41
"MTH",67.8
"HIMS",33.01
"LUMN",3.485
"GBCI",40.7425
"CHX",23.765
"CMC",44.25
"GH",47.76
"WTS",205.77
"SIGI",86.33
"GATX",146.26
"MARA",13.405
"ZWS",33.97
"QTWO",78.77
"ACIW",53.26
"HOMB",27.69
"EPRT",32.14
"BE",18.4
"SMTC",30.64
"CYTK",43.4
"UPST",47.42
"DY",165.49
"PIPR",240
"UMBF",95.04
"NOVT",118.09
"QLYS",124.65
"TENB",30.62
"KRG",21.74
"BBIO",38.32
"BCPC",156.79
"UBSI",34.42
"PRMB",32.69
"OPCH",31.53
"ABG",213.605
"KTOS",33.61
"BIPC",36.57
"ALKS",28.72
"AVAV",150.34
"HWC",52.27
"CWAN",22.62
"LRN",141.5
"SOUN",9.2048
"WK",74.89
"CORT",71.93
"CADE",29.39
"BCC",92.375
"CNR",72.1
"BOOT",102.39
"CTRE",29.44
"KTB",59.405
"RDN",31.67
"AROC",23.465
"BDC",102.59
"IBP",166.65
"ITRI",110.935
"VRNS",42.82
"ACA",79.51
"CBT",77.915
"MAC",14.6
"SKY",86.1875
"SM",22.7643
"ITGR",125.37
"SITM",143.34
"NSIT",137.645
"FFIN",33.55
"PRIM",59.565
"SLG",52.5
"AEIS",96.355
"EXPO",78.12
"MMS",66.84
"NJR",48.75
"SHAK",85.985
"NE",21.795
"SKYW",88.72
"MATX",106.93
"SLAB",100.335
"CALM",94.21
"SANM",76.31
"MGY",20.45
"SFBS",71.315
"PECO",34.58
"VLY",8.61
"FTDR",40.755
"KBH",53.65
"IDCC",200.875
"FELE",84.22
"KAI",299.31
"FCFS",133.595
"BOX",31.305
"AHR",32.19
"VRRM",21.8
"SWX",71.64
"MUR",20.315
"RDNT",52.12
"STEP",49.65
"MC",52.95
"IRT",19.2
"GEO",31.105
"POR",41.94
"ESGR",334.5
"ABCB",58.57
"CNX",29.41
"TXNM",53.25
"FUN",34.3
"CNO",37.43
"WHD",37.82
"RXO",13.8
"PLXS",122.22
"GVA",80.88
"BCO",89.095
"ASB",22.01
"TGTX",45.2
"SBRA",17.91
"CBZ",67.95
"BKH",60.495
"SR",75.855
"ENS",86.2
"ASGN",50.245
"GLNG",42.105
"NOG",23.95
"OGS",78.145
"CVCO",490.495
"AVNT",33.09
"PJT",140.99
"KRYS",171.44
"ALE",65.38
"ASO",37.1
"AXSM",112.63
"AX",63.14
"INTA",53.99
"PBH",81.35
"ATGE",106.113
"AI",21.93
"ORA",72.26
"MIR",15.8
"JOBY",6.3248
"NPO",149.435
"FRSH",14.525
"URBN",52.265
"ADMA",23.93
"RIOT",7.205
"KFY",61.52
"MWA",26.13
"RUSHA",50.835
"CRC",34.575
"MHO",105.73
"HAE",63.03
"ATMU",34.235
"LBRT",11.56
"UCB",27.53
"ICUI",135.41
"PTEN",5.6
"ROAD",81.8
"IBOC",61.3
"TDS",37.45
"POWI",48.36
"RELY",20.175
"TCBI",67.82
"PTCT",50.255
"SKT",31.05
"SRRK",33.105
"BHVN",22.38
"ESE",157.15
"REZI",16.55
"BL",47.13
"APLE",11.735
"TPH",30.435
"IRTC",106.965
"CARG",27.83
"HP",18.89
"CRNX",33.525
"PCH",38.31
"SATS",22.35
"SMPL",36.015
"EBC",14.885
"FUL",53.48
"ABM",48.785
"LANC",165.03
"VCYT",30.455
"CDP",25.86
"UNF",179.215
"GMS",72.7
"NWE",57.93
"ZETA",12.895
"SYNA",55.155
"DORM",112.79
"RNA",32.57
"FORM",27.645
"CCOI",54.99
"OSCR",13.03
"TEX",34.835
"ACVA",14.65
"UEC",5.2499
"CNK",29.76
"FULT",16.715
"OTTR",78.89
"TRN",24.88
"CBU",54.17
"HL",5.685
"RYTM",64.74
"PI",89.74
"SXT",94.18
"MGEE",90.28
"BXMT",18.89
"WDFC",227.865
"PATK",76.76
"ATKR",63.14
"AMBA",47.045
"VERX",40.05
"TWST",37.8
"PBF",17.12
"PRCT",55.8
"SNEX",88.995
"BLKB",61.65
"HASI",24.83
"AEO",10.39
"WD",77.03
"TGNA",16.185
"BNL",16.185
"HBI",4.615
"NMIH",35.615
"OSIS",203.04
"CRVL",108.795
"BGC",8.995
"AUB",27.74
"SHOO",20.63
"BRZE",31.1384
"TNET",77.67
"VSCO",18.41
"SG",19.19
"HGV",33.36
"PTON",6.745
"VAL",32.125
"MGRC",106
"PFSI",96.99
"NHI",75.67
"ALIT",5.1099
"NUVL",75.63
"GHC",912.14
"GFF",67.44
"ALRM",53.285
"CORZ",7.8493
"WSFS",51.7
"FBP",19.64
"HCC",48.24
"DNLI",16.56
"HEES",89.99
"NVCR",18.23
"NSP",64.34
"IOSP",89.08
"BUR",13.56
"SLVM",59.225
"ENVA",93
"CLSKW",0.17
"AVA",41.36
"ACLX",65.6
"FOLD",7.6499
"CVBF",18.53
"VCEL",38.52
"OUT",15.13
"VCTR",56.76
"RIG",2.145
"DIOD",37.835
"DRS",36.98
"HUBG",31.3
"CATY",41.86
"SFNC",18.685
"BWIN",41.2
"PAYO",6.995
"AKR",19.06
"FCPT",27.94
"POWL",181.62
"OII",17.76
"TDW",36.26
"BKU",32.765
"APAM",36.785
"CRGY",8.245
"PLMR",145.8
"LIVN",37.23
"GT",10.82
"ASTS",23.135
"USD",37.475
"WNS",59.04
"LCII",77.58
"AWR",81.43
"GNW",6.825
"SDRL",20.53
"INDB",59.16
"CPK",131.22
"UE",17.97
"TTMI",19.875
"CON",21.735
"SIG",58.83
"IPAR",109.5
"FIBK",26.145
"ARWR",13.96
"AZZ",86.82
"NEOG",5.155
"COMP",7.655
"DOCN",30.645
"BOH",66.435
"CNS",75.89
"KNTK",41.215
"TBBK",47.79
"YELP",34.93
"CWT",50.6
"CAKE",49.81
"AIN",65.81
"IESC",195.7
"TOWN",32.84
"FFBC",23.23
"CPRX",24.295
"GPOR",172.41
"HI",20.8
"LAUR",20.08
"ENR",27.04
"MYRG",120.14
"SWTX",46.2
"LXP",7.855
"STNE",13.865
"KLIC",31.89
"CDE",5.5
"JBLU",4.2657
"HNI",42.22
"AIR",53.46
"SMR",16.36
"BTU",12.425
"BANF",117.63
"PRK",151.3
"PDCO",31.33
"RPD",23.67
"ZD",29.54
"PAR",58.305
"EPAC",40.065
"MTX",50.555
"SHO",8.285
"ARCB",57.76
"FRME",35.635
"NATL",27.76
"AVPT",16.19
"CXW",22.64
"ICFI",84.94
"RRR",42.705
"CALX",40.345
"VIAV",10.475
"WRBY",16.535
"TNDM",16.83
"PRVA",23.575
"VC",79.43
"ACHR",8.39
"ACLS",47.505
"FLG",11.78
"GSHD",96.145
"PRGS",59.76
"WERN",23.85
"HWKN",122.19
"CURB",22.97
"IVT",27.93
"SBCF",23.81
"SMMT",24.13
"ACAD",14.53
"PSMT",102.01
