"company","price"
"SFM",162.505
"INSM",70.915
"CRDO",36.72
"PCVX",31.38
"RKLB",18.98
"FTAI",89.92
"CRS",170.055
"AIT",216.95
"FN",177.06
"SSB",84.66
"FLR",33.73
"GTLS",119.3625
"MLI",68.925
"HQY",82.675
"IONQ",24.58
"GKOS",88.89
"EXLS",43.64
"ENSG",119.99
"SPSC",128.24
"BPMC",84.345
"MOD",71.03
"BECN",123.83
"UFPI",104.35
"ONB",19.325
"CVLT",146.06
"SPXC",125.049
"HALO",57.7
"RVMD",36.89
"EAT",154.52
"TMHC",57.17
"RMBS",44.18
"LNTH",101.83
"AUR",6.035
"COOP",108.99
"CWST",115.87
"BMI",203.235
"CSWI",296.14
"RHP",84.905
"ANF",74.025
"ALTM",5.84
"TRNO",56.435
"HLNE",134.19
"JXN",71.99
"MDGL",304.57
"FSS",72.8675
"NXT",40.56
"ALTR",111.85
"GPI",392.4
"JBTM",92.925
"ESNT",54.6
"KNF",86.03
"MMSI",90.21
"HRI",98.96
"STRL",133.11
"MTH",66.64
"HIMS",25.4305
"LUMN",3.165
"GBCI",39.545
"CHX",24.65
"CMC",42.14
"GH",44.48
"WTS",199.12
"SIGI",89.2
"GATX",145.75
"MARA",13.365
"ZWS",30.38
"QTWO",74.19
"ACIW",50.68
"HOMB",26.675
"EPRT",32.02
"BE",16.985
"SMTC",25.11
"CYTK",38.715
"UPST",41.58
"DY",151.25
"PIPR",221.62
"UMBF",92.235
"NOVT",112.89
"QLYS",117.48
"TENB",30.43
"KRG",21.4625
"BBIO",33.92
"BCPC",156.6
"UBSI",33.27
"PRMB",32.735
"OPCH",31.55
"ABG",218.985
"KTOS",31.87
"BIPC",35.75
"ALKS",27.3045
"AVAV",146.71
"HWC",48.79
"CWAN",21.6
"LRN",136.44
"SOUN",7.8701
"WK",68.7
"CORT",63.09
"CADE",27.92
"BCC",91.38
"CNR",72.5
"BOOT",91.1
"CTRE",28.38
"KTB",57.64
"RDN",31.395
"AROC",22.95
"BDC",93.29
"IBP",158.94
"ITRI",103.61
"VRNS",40.03
"ACA",75.56
"CBT",77.655
"MAC",14.17
"SKY",80.095
"SM",22.645
"ITGR",116.845
"SITM",129.3
"NSIT",132.71
"FFIN",32.48
"PRIM",54.74
"SLG",51.6225
"AEIS",86.73
"EXPO",78.7475
"MMS",67.05
"NJR",49.725
"SHAK",84.1
"NE",19.74
"SKYW",84.345
"MATX",94.2
"SLAB",91.5
"CALM",92.88
"SANM",74.48
"MGY",20.6
"SFBS",67.34
"PECO",35.99
"VLY",8.24
"FTDR",39.1
"KBH",52.155
"IDCC",186.8
"FELE",84.995
"KAI",286.8
"FCFS",119.595
"BOX",29.615
"AHR",30.0003
"VRRM",21.84
"SWX",72.8125
"MUR",21.38
"RDNT",47.275
"STEP",46.0847
"MC",50.6075
"IRT",19.3
"GEO",28.56
"POR",43.395
"ESGR",334.19
"ABCB",52.93
"CNX",30.53
"NARI",79.97
"TXNM",52.835
"FUN",33.71
"CNO",38.09
"WHD",37.15
"RXO",12.41
"PLXS",122.06
"GVA",75.605
"BCO",89
"ASB",20.32
"TGTX",38.08
"SBRA",17.94
"CBZ",74.64
"BKH",60.09
"SR",77.36
"ENS",80.36
"ASGN",57.72
"GLNG",38.45
"NOG",23.24
"OGS",77.87
"CVCO",468
"AVNT",31.365
"PJT",129.54
"KRYS",164.836
"ALE",64.99
"ASO",37
"AXSM",103.22
"AX",59.745
"INTA",48.84
"PBH",79.06
"ATGE",101.06
"AI",19.4141
"ORA",72.37
"MIR",13.77
"JOBY",5.8701
"NPO",138.26
"FRSH",12.055
"URBN",48.9
"ADMA",20.76
"RIOT",6.97
"KFY",60.03
"MWA",24.82
"RUSHA",50.22
"CRC",34.82
"MHO",105.87
"HAE",57.34
"ATMU",32.58
"LBRT",11.77
"UCB",25.41
"ICUI",134.62
"PTEN",5.725
"ROAD",74.87
"IBOC",58.62
"TDS",35.62
"POWI",46.35
"RELY",19.05
"TCBI",64.855
"PTCT",48.59
"SKT",31.42
"SRRK",31.315
"BHVN",20.585
"ESE",148.275
"REZI",14.89
"BL",44.05
"APLE",11.71
"TPH",30.035
"IRTC",100.83
"CARG",26.63
"HP",19.6
"CRNX",30.83
"PCH",38.465
"SATS",21.2995
"SMPL",36.73
"EBC",14.82
"FUL",53.865
"ABM",45.9
"LANC",192.21
"VCYT",31.48
"CDP",26.275
"UNF",171.505
"GMS",69.64
"NWE",58.5595
"ZETA",11.24
"SYNA",49.33
"DORM",108.515
"RNA",29.67
"FORM",25.32
"CCOI",50.945
"OSCR",11.42
"TEX",33.31
"ACVA",14.01
"UEC",4.805
"CNK",28.99
"FULT",15.915
"OTTR",78
"TRN",24.225
"CBU",53.01
"HL",5.9379
"RYTM",60.895
"PI",72.87
"SXT",77.16
"MGEE",90.13
"BXMT",18.5299
"WDFC",220.75
"PATK",78.3
"ATKR",60.78
"AMBA",41.855
"VERX",38.725
"TWST",36.58
"PBF",15.61
"PRCT",53.26
"SNEX",80.83
"BLKB",60.4
"HASI",24.105
"AEO",10.835
"WD",73.285
"TGNA",15.88
"BNL",15.97
"HBI",4.475
"NMIH",33.43
"OSIS",190.08
"CRVL",111.4
"BGC",8.48
"AUB",24.84
"SHOO",19.935
"BRZE",27.99
"TNET",74.72
"VSCO",17.43
"SG",17.14
"HGV",32.67
"PTON",5.5601
"VAL",30.94
"MGRC",101.6375
"PFSI",95.37
"NHI",75.195
"ALIT",4.815
"NUVL",71.39
"GHC",891.97
"GFF",65.02
"ALRM",49.56
"CORZ",6.805
"WSFS",48.24
"FBP",18.24
"HCC",47.38
"DNLI",13.98
"HEES",88.38
"NVCR",16.125
"NSP",77.365
"IOSP",86.93
"BUR",13.82
"SLVM",58.57
"ENVA",90.48
"CLSKW",0.1903
"AVA",41.69
"ACLX",62.76
"FOLD",6.865
"CVBF",17.93
"VCEL",40.2
"OUT",14.58
"VCTR",55.56
"RIG",2.11
"DIOD",34.9017
"DRS",34.47
"HUBG",31.87
"CATY",41.51
"SFNC",17.6
"BWIN",41.425
"PAYO",6.25
"AKR",19.655
"FCPT",28.59
"POWL",163
"OII",17.115
"TDW",33.12
"BKU",31.14
"APAM",34.9048
"CRGY",8.245
"PLMR",145.22
"LIVN",34.88
"GT",10.17
"ASTS",21.255
"USD",31.755
"WNS",63.645
"LCII",77.25
"AWR",80.525
"GNW",6.475
"SDRL",20.18
"INDB",55.09
"CPK",134.72
"UE",18.3
"TTMI",18.575
"CON",19.84
"SIG",54.33
"IPAR",105.5
"FIBK",26.21
"ARWR",12.1
"AZZ",76.5259
"NEOG",4.595
"COMP",6.935
"DOCN",26.33
"BOH",65.375
"CNS",72.465
"KNTK",41.23
"TBBK",44.28
"YELP",33.06
"CWT",50.875
"CAKE",49.745
"AIN",61.825
"IESC",173.96
"TOWN",31.465
"FFBC",22.815
"CPRX",22.59
"GPOR",171.36
"HI",20.57
"LAUR",18.855
"ENR",26.85
"MYRG",110.31
"SWTX",38.29
"LXP",7.665
"STNE",12.695
"KLIC",29.79
"CDE",5.99
"JBLU",3.6291
"HNI",40.4692
"AIR",50.62
"SMR",14.76
"BTU",12.07
"BANF",113.515
"PRK",142.18
"PDCO",31.33
"RPD",22.62
"ZD",29.615
"PAR",55.325
"EPAC",37.78
"MTX",56.06
"SHO",8.135
"ARCB",59.46
"FRME",35.22
"NATL",24.01
"AVPT",14.115
"CXW",21.85
"ICFI",82.73
"RRR",40.43
"CALX",37.17
"VIAV",9.865
"WRBY",14.4
"TNDM",16.38
"PRVA",22.85
"VC",72.08
"ACHR",7.215
"ACLS",44.635
"FLG",10.63
"GSHD",100.74
"PRGS",55.31
"WERN",27.99
"HWKN",121.345
"CURB",23.075
"IVT",27.485
"SBCF",22.74
"SMMT",27.03
"ACAD",14.585
"PSMT",94.67
"EXTR",11.27
"FLYW",8.78
"KAR",18.235
"PPBI",19.4
"MRCY",47
"RAMP",24.86
"HURN",138.06
"AGX",131.81
"PTGX",46.005
"SXI",130.83
"MBC",11.185
"AMR",119.77
"ADUS",97.945
"MGNI",11.325
"GBX",41.95
"CCS",59.69
"STRA",77.405
"VSH",10.99
"BANR",59.74
"PLUS",58.85
"RNST",28
"AGYS",68.0475
"EFSC",48.51
"CNMD",47.71
"RGTI",8.268
"YOU",25.15
"JJSF",136.95
"STNG",33.82
"PFS",15.595
"PHIN",40.9
"SEM",15.555
"MTRN",79.075
"BANC",13.125
"KYMR",28.265
"NBTB",40.06
"HUT",11.7
"TMDX",90.07
"EVTC",32.4
"RUN",6.995
"OSW",16.56
"BEAM",18.64
"AGIO",27.8
"WAFD",28.07
"LGND",106.44
"HLMN",7.43
"ENVX",6.295
"CRK",18.795
"OMCL",29.76
"IGT",16.32
"EWTX",13.93
"IDYA",18.26
"SYBT",69.64
"TRMK",32.935
"KWR",101.62
"UPWK",12.68
"WSBC",28.105
"TGLS",67.49
"LZB",38.245
"SUPN",30.405
"LMAT",85.1
"FBK",40.42
"MIRM",38.55
"IIPR",51.735
"CABO",251.63
"ATRC",32.15
"MXL",10.185
"ALKT",24.315
"LC",9.58
"DRH",6.925
"GOLF",60.17
"UFPT",212.13
"VSEC",104.38
"OFG",35.63
"KMT",18.79
"NMRK",10.3
"RXRX",5.615
"LGIH",57.58
"CHEF",53.02
"GRBK",55.56
"BATRK",38.6
"ABR",10.965
"ALG",162.605
"NEO",9.79
"ROCK",50.54
"DEI",13.75
"VYX",7.82
"DBRG",7.925
"CASH",71.3
"AGM",173.72
"REVG",29.895
"AVDX",7.565
"PRM",9.85
"TARS",49
"ROG",54.675
"WWW",11.98
"PRKS",43.46
"LTH",30
"APLD",4.1744
"GERN",1.335
"AKRO",39.0573
"MQ",3.855
"FL",11.485
"NGVT",30.94
"TDOC",6.575
"TFIN",47.34
"FBNC",37.35
"JOE",41.035
"LMND",26.35
"IART",15.26
"PRG",25.78
"PGNY",21.52
"DAN",11.45
"OI",11.1
"DFIN",42.035
"LKFN",52.3
"CHCO",112.93
"SONO",8.085
"BHE",35.185
"KN",14.4
"IOVA",3.105
"CWK",8.095
"DVAX",10.48
"SPT",18.75
"PEB",8.64
"WLY",42.205
"CSGS",59.17
"PD",14.72
"NWBI",11.3
"WKC",23.58
"WULF",2.5911
"STR",16.605
"PLUG",0.88
"ASAN",14.37
"NNI",106.955
"UCTT",18.6803
"EPC",30.07
"NTB",37.565
"WAY",35.55
"PRDO",24.46
"TRUP",34.41
"ASTH",29.335
"UNFI",25.635
"KOS",1.775
"AESI",13.44
"NTCT",20.01
"THS",22.62
"FCF",14.38
"SKWD",53.66
"TNC",68.52
"ALGT",40.47
"GEF",51.555
"BCRX",7.725
"SSRM",10.74
"SGRY",20.41
"UPBD",20.24
"MNKD",4.61
"CENTA",30.12
"MLKN",15.5
"CLDX",19.055
"TVTX",15.825
"CUBI",45.0875
"VRNT",15.85
"XHR",9.8
"BFH",45.81
"NIC",111.2976
"KGS",33.105
"STC",64.08
"RLJ",6.845
"LTC",35.48
"APGE",33.96
"ADNT",11.775
"VERA",21.69
"PHR",23.34
"NWN",43.745
"HE",10.39
"TALO",7.275
"CTS",37.565
"GTY",28.715
"HELE",32.3052
"VRTS",146.12
"SJW",54.14
"VITL",33.62
"CODI",16.2
"SASR",27.95
"INSW",32.1383
"HLIO",26.08
"NBHC",35.89
"HOPE",9.635
"NVAX",6.135
"ANDE",37.49
"ALHC",17.855
"ADEA",11.92
"TCBK",37.305
"BKE",34.13
"ARQT",13.73
"LNN",122.975
"CGON",20.42
"WT",8.225
"DNOW",15.12
"STEL",25.78
"VECO",17.78
"GNL",7.535
"SPNT",16.08
"COCO",31.225
"PLAB",17.785
"HMN",39.51
"VSAT",8.065
"AMRX",7.17
"DHT",10.025
"XMTR",24.17
"HRMY",28.58
"SOC",19.205
"TILE",17.98
"TGI",24.865
"NRIX",10.88
"WGO",30.96
"MSGE",30.15
"UNIT",4.645
"PWP",15.67
"MTTR",5.38
"AMPH",23.57
"SDGR",26.5
"MCY",52.575
"HTH",28.27
"GSAT",19.04
"WABC",46.045
"FSLY",5.245
"CSTM",8.54
"APPN",25.645
"ATEN",15.49
"IMVT",14.485
"VRDN",13.56
"XNCR",10.58
"LEU",64.0796
"VBTX",21.685
"QCRH",67
"ALEX",16.705
"SCL",47.32
"SABR",2.025
"INFN",6.64
"HLIT",8.6301
"CBRL",43.135
"PRAX",36.59
"USPH",67.205
"DXPE",77.825
"PZZA",30.815
"STBA",34.72
"LADR",10.045
"AAOI",10.63
"XPRO",8.235
"WOR",46.325
"CWH",12.275
"ESRT",7.075
"SFL",7.725
"VICR",46.275
"ELME",15.32
"NSSC",21.47
"WTTR",8.18
"UMH",17.13
"PAGS",9.085
"BUSE",20.02
"AMWD",54.165
"ARDX",4.655
"FUBO",2.915
"MRC",10.59
"ARI",8.335
"GDYN",13.07
"USLM",88.2
"CRAI",163.35
"COMM",3.155
"JANX",30.365
"CMPR",40.955
"BLBD",33.565
"OCUL",7.71
"HLX",6.365
"APOG",44.145
"INMD",15.05
"GIII",24.135
"SLNO",69.86
"TWO",11.045
"AIV",7.695
"JBGS",14.65
"UVV",52.19
"TROX",5.3
"MD",12.03
"SCSC",31.175
"FOXF",19.66
"OXM",45.2
"LOB",24.315
"JAMF",10.51
"VRE",15.8
"PCT",6.37
"RVLV",19.08
"DK",12.93
"ATEC",10.62
"THRM",24.14
"AAT",18.87
"ECPG",30.58
"AORT",22.87
"NHC",89.44
"PEBO",27.25
"CDNA",17.36
"KALU",54.33
"RC",4.4208
"AMC",2.695
"BHLB",23.54
"SAFT",74.895
"SNDX",12.3
"SPHR",24.65
"STAA",16.32
"EVH",8.55
"CARS",11.35
"DGII",26.29
"DESP",19.215
"QNST",16.03
"RXST",14.32
"DCOM",24.665
"COUR",7.115
"TPC",20.3951
"ARLO",9.12
"GABC",35.555
"OBK",30.55
"BTSG",15.815
"SBH",8.015
"CIM",11.355
"ARVN",8.71
"MODG",6.385
"NTLA",7.94
"DBD",41.72
"PMT",13.06
"MYGN",7.43
"CNNE",16.98
"AGL",4.155
"XRX",4.105
"COHU",14.48
"BBSI",39.39
"IRON",45.03
"ATSG",22.48
"DYN",9.91
"OCFC",15.8
"OMI",6.425
"CIFR",2.7501
"PRO",15.9
"GBTG",6.52
"SRCE",54.99
"PDM",6.66
"KLG",18.705
"IBTA",46.85
"DEA",8.105
"JBI",6.355
"SCS",9.415
"LFST",6.165
"EMBC",11.2
"LZ",6.675
"FA",13.11
"PENG",15.81
"EVRI",13.755
"GOGL",7.055
"WVE",6.45
"UUUU",4.505
"WINA",357.005
"RSI",11.525
"LMB",85.685
"BLX",37.09
"EIG",47.3
"INOD",31.45
"HCI",142.81
"XPEL",26.01
"FBMS",33.81
"AUPH",7.845
"FDP",33.56
"ARRY",4.245
"NTST",16.44
"PCRX",25.87
"NAVI",11.17
"ANIP",69.12
"KW",6.43
"MDXG",6.66
"CENX",15.77
"AMN",17.755
"NVEE",15.125
"UTI",26.54
"MCRI",74.81
"DOLE",14.175
"AMSC",18.2215
"AHCO",7.455
"EFC",12.28
"CMCO",13.07
"CXM",6.91
"MFA",9.0528
"NX",15.475
"HROW",23.405
"WMK",83.64
"CSR",59.07
"BFC",107.85
"SGHC",7.69
"IMAX",22.77
"BLFS",21.68
"KFRC",43.6
"SAH",58.37
"PL",3.0099
"VIR",5.64
"TRS",20.18
"INVA",18.45
"PRLB",32.79
"PFC",28.04
"FBRT",11.36
"DLX",14.285
"ARR",14.395
"DX",11.645
"COLL",27.595
"AMSF",48.12
"PARR",13.78
"WGS",99.37
"CCB",84.565
"VTLE",15.14
"DRVN",15.9
"WS",23.69
"BLMN",8.32
"ICHR",17.295
"RDFN",8.43
"BRKL",9.855
"CDRE",28.89
"TNK",38.295
"THR",24.27
"NEXT",7.31
"NN",11.35
"TPB",57.2353
"FIZZ",43.95
"ACT",35.1
"SBSI",27.64
"BV",13.13
"ADPT",7.05
"BY",24.255
"PLAY",19.265
"UVSP",27.425
"ACMR",18.68
"DCO",53.81
"HSII",37.535
"FMBH",32.33
"AOSL",16.8856
"IMKTA",63.385
"BKD",5.865
"EXPI",8.74
"REAL",5.495
"CLB",12.185
"VMEO",4.935
"PUMP",4.965
"BDN",3.85
"MSEX",63.115
"BXC",70.11
"TRNS",85.56
"LQDA",13.405
"OPEN",0.9273
"CNOB",21.63
"ECVT",5.775
"MMI",30.73
"SEI",18.41
"MRTN",13.02
"MATW",19.245
"UTZ",13.49
"CTBI",47.455
"BLND",3.07
"PNTG",24.67
"CECO",18.16
"TMP",56.44
"EYE",11.005
"AMTB",18.62
"AMPL",7.67
"PBI",8.01
"LILAK",5.205
"FIHL",16.0233
"NXRT",36.605
"SAFE",14.66
"SXC",9.195
"RWT",5.655
"OEC",11.85
"CNXN",59.1
"PDFS",17.09
"PGRE",4.295
"BELFB",66.85
"LPG",20.27
"BHRB",49.55
"VTOL",28.11
"PRAA",16.61
"FLNC",3.705
"REPL",8.65
"FWRD",14.845
"HCSG",9.395
"ADTN",7.29
"MBWM",40.2
"ASIX",20.41
"ZYME",11.96
"JELD",5.259
"COGT",4.37
"ERII",14.81
"SPNS",25.81
"PRSU",29.22
"NTGR",21.83
"HFWA",22.11
"ASTE",32.8
"AXGN",15.19
"ARIS",24.22
"BZH",18.39
"NBBK",16.395
"FCBC",39.085
"HG",18
"SWI",18.49
"UTL",58.47
"FG",34.005
"ELVN",17.01
"BORR",1.78
"GLDD",8.51
"CEVA",23.36
"NVRI",6.01
"SHLS",3.345
"EOLS",10.44
"OLO",5.975
"OSBC",14.8
"AVXL",8.96
"JACK",24.4492
"FIGS",3.785
"JBSS",68.1799
"IBCP",30.14
"AVBP",20.1
"CFB",15.99
"HBNC",13.585
"KNSA",20.01
"NG",3.705
"ML",85.9
"BRSP",4.505
"SYRE",13.18
"DNUT",4.335
"MBUU",27.02
"OSPN",14.07
"MLR",39.565
"CRMD",8.1
"ROOT",129
"VVX",46.75
"CVI",18.395
"GRC",32.585
"DEC",11.84
"LQDT",30.58
"HCKT",25.25
"DAVE",82.64
"NBN",88.5
"FIP",3.695
"ODP",12.63
"ORRF",26.95
"HSTM",31.875
"AMRC",9
"AAMI",26.15
"SITC",11.6594
"AVDL",7.95
"SSTK",15.96
"RCKT",6.9896
"IAS",6.35
"AHH",6.815
"BMBL",4.385
"CFFN",5.205
"RCUS",7.845
"PTVE",18.01
"MLAB",111.35
"MEG",14.1
"FLNG",22.9214
"ASPN",5.105
"PAX",9.98
"INDI",1.85
"IDT",47.965
"AVNS",12.02
"MBIN",31.58
"HZO",18.78
"INN",3.785
"EGBN",20.14
"CAC",37.62
"AMAL",26.73
"CAL",15.09
"PRA",22.965
"EQBK",36.945
"BASE",14.595
"LYTS",15.47
"HOV",93.705
"BJRI",32.79
"MCW",6.83
"SPRY",14.7699
"CTKB",3.74
"UDMY",5.995
"WNC",9.725
"DAKT",12.13
"GCI",3.48
"CSTL",21.57
"STKL",3.935
"MCB",57.25
"LUNR",7.255
"NABL",6.275
"DFH",21.405
"YEXT",6.025
"GOOD",14.145
"AXL",3.3001
"MCBS",27.6048
"SIBN",13.385
"WSR",13.105
"GDEN",25.4426
"BFST",22.84
"MLNK",16.045
