"company","price"
"SFM",140.99
"INSM",77.77
"CRDO",47.02
"PCVX",75.23
"RKLB",19.1
"FTAI",106.98
"CRS",184.08
"AIT",227.33
"FN",221.41
"SSB",92.74
"FLR",37.35
"GTLS",151.72
"MLI",81.38
"HQY",100.72
"IONQ",24.93
"GKOS",103.35
"EXLS",46.6
"ENSG",129.82
"SPSC",128.91
"BPMC",92.14
"MOD",87.05
"BECN",119.9
"UFPI",107.23
"ONB",21.12
"CVLT",160.56
"SPXC",135.42
"HALO",62.95
"RVMD",39.13
"EAT",141.65
"TMHC",58.75
"RMBS",54.51
"LNTH",102.76
"AUR",6.97
"COOP",101.43
"CWST",109.43
"BMI",199.74
"CSWI",292.84
"SUM",52.49
"RHP",97.49
"ANF",82.64
"ALTM",5.84
"TRNO",67.38
"HLNE",145.15
"JXN",83.36
"MDGL",342.44
"FSS",78.37
"NXT",45.9
"ALTR",111.42
"GPI",392.18
"JBTM",125.81
"ESNT",54.82
"KNF",93.5
"MMSI",100.69
"HRI",128.32
"STRL",120.49
"MTH",70.46
"HIMS",34.69
"LUMN",5.07
"GBCI",44.94
"CHX",29.65
"CMC",46.16
"GH",42.9
"WTS",213.98
"SIGI",89.17
"GATX",155.39
"MARA",12.97
"ZWS",33.48
"QTWO",77.21
"ACIW",53.26
"HOMB",28.56
"EPRT",31.88
"BE",24.19
"SMTC",39.43
"CYTK",44.91
"UPST",50.04
"DY",157.46
"PIPR",256.72
"UMBF",101.94
"NOVT",137.98
"QLYS",130.49
"TENB",36.75
"KRG",22.15
"BBIO",33.01
"BCPC",168.46
"UBSI",34.86
"PRMB",32.28
"OPCH",33.89
"ABG",234.65
"KTOS",31.89
"BIPC",35.27
"ALKS",34.37
"AVAV",125.74
"HWC",51.4
"CWAN",26.59
"LRN",121.93
"SOUN",10.08
"WK",88.57
"CORT",57.88
"CADE",30.28
"BCC",100
"CNR",72.04
"BOOT",103.92
"CTRE",28.81
"KTB",63.31
"RDN",31.56
"AROC",25.69
"BDC",102.92
"IBP",170.99
"ITRI",106.55
"VRNS",41.45
"ACA",81.24
"CBT",84.09
"MAC",17.11
"SKY",93.36
"SM",30.26
"ITGR",119.31
"SITM",170.46
"NSIT",154.87
"FFIN",35.75
"PRIM",64.64
"SLG",58.24
"AEIS",107.39
"EXPO",83.02
"MMS",68.02
"NJR",49.24
"SHAK",88.08
"NE",24.18
"SKYW",88.37
"MATX",128.91
"SLAB",126.66
"CALM",91.7
"SANM",76.12
"MGY",23.72
"SFBS",83.13
"PECO",35.13
"VLY",8.84
"FTDR",37.87
"KBH",60.61
"IDCC",219.63
"FELE",100.28
"KAI",354.6
"FCFS",117.07
"BOX",30.99
"AHR",29.72
"VRRM",20.83
"SWX",76.2
"MUR",26.66
"RDNT",49.02
"STEP",54.64
"MC",60.2
"IRT",21
"GEO",26.29
"POR",44.77
"ESGR",332.7
"ABCB",57.81
"CNX",30.73
"NARI",79.97
"TXNM",52.82
"FUN",38.88
"CNO",41.37
"WHD",45.7
"RXO",18.85
"PLXS",125.16
"GVA",73.76
"BCO",86.51
"ASB",22.22
"TGTX",41.06
"SBRA",17.62
"CBZ",71.11
"BKH",61.35
"SR",76.27
"ENS",97.04
"ASGN",68.74
"GLNG",35.05
"NOG",29.38
"OGS",74.54
"CVCO",506.6
"AVNT",40.65
"PJT",139.68
"KRYS",186.89
"ALE",65.41
"ASO",46.72
"AXSM",125.68
"AX",63.59
"INTA",60.03
"PBH",84.88
"ATGE",97.35
"AI",21.94
"ORA",72.7
"MIR",14.76
"JOBY",6.43
"NPO",178.04
"FRSH",15.22
"URBN",49.14
"ADMA",18.67
"RIOT",7.76
"KFY",67.46
"MWA",27.83
"RUSHA",53.95
"CRC",43.17
"MHO",115.79
"HAE",64.8
"ATMU",36.99
"LBRT",14.55
"UCB",28.58
"ICUI",149.205
"PTEN",7.86
"ROAD",73.79
"IBOC",62.45
"TDS",35.44
"POWI",57.72
"RELY",19.52
"TCBI",75.62
"PTCT",57.17
"SKT",32.4
"SRRK",34.72
"BHVN",29.66
"ESE",159.84
"REZI",17.69
"BL",49.18
"APLE",13.77
"TPH",31.28
"IRTC",103.7
"CARG",31.13
"HP",25.33
"CRNX",35.2
"PCH",45.73
"SATS",26.3
"SMPL",34.45
"EBC",16.41
"FUL",53.95
"ABM",47.69
"LANC",183.21
"VCYT",31.23
"CDP",27.05
"UNF",205.46
"GMS",73.19
"NWE",56.29
"ZETA",14.47
"SYNA",65.09
"DORM",126.74
"RNA",33.83
"FORM",32.65
"CCOI",70.91
"OSCR",13.45
"TEX",39.61
"ACVA",14.71
"UEC",5.52
"CNK",24.94
"FULT",18.21
"OTTR",83.35
"TRN",29.48
"CBU",57.12
"HL",5.88
"RYTM",52.34
"PI",92.73
"SXT",73.02
"MGEE",93.04
"BXMT",20.85
"WDFC",242.4
"PATK",84.6
"ATKR",66
"AMBA",56.04
"VERX",34.54
"TWST",42.34
"PBF",22.3
"PRCT",59.03
"SNEX",113.31
"BLKB",64.51
"HASI",29.64
"AEO",12.03
"WD",87.97
"TGNA",17.83
"BNL",17.11
"HBI",5.93
"NMIH",35.37
"OSIS",189.17
"CRVL",106.21
"BGC",9.14
"AUB",32.63
"SHOO",25.76
"BRZE",36.17
"TNET",77.78
"VSCO",20.06
"SG",24.12
"HGV",36.8
"PTON",6.59
"VAL",38.74
"MGRC",114.49
"PFSI",98
"NHI",75.49
"ALIT",6.33
"NUVL",77.02
"GHC",938.85
"GFF",70.63
"ALRM",58.36
"CORZ",8.76
"WSFS",52.06
"FBP",18.31
"HCC",48.34
"DNLI",15.44
"HEES",93.89
"NVCR",19.59
"NSP",88.28
"IOSP",99.17
"BUR",13.76
"SLVM",65.61
"ENVA",93.17
"CLSKW",0.3523
"HTLF",64.67
"AVA",39.99
"ACLX",72.74
"FOLD",9.12
"CVBF",18.78
"VCEL",47.6
"OUT",16.54
"VCTR",59.53
"RIG",3.17
"DIOD",46.94
"DRS",33.13
"HUBG",38.15
"CATY",43.98
"SFNC",20.63
"BWIN",40.56
"PAYO",7.31
"AKR",21.63
"FCPT",28.22
"POWL",179.68
"OII",20.61
"TDW",41.45
"BKU",34.34
"APAM",40.44
"CRGY",11.04
"PLMR",134.09
"LIVN",41.41
"GT",9.16
"ASTS",28.02
"USD",49.3
"WNS",63.5
"LCII",89.69
"AWR",78
"GNW",6.81
"SDRL",24.59
"INDB",64.13
"CPK",127.69
"UE",18.65
"TTMI",22.13
"CON",21.09
"SIG",48.35
"IPAR",124.92
"FIBK",29.14
"ARWR",15.6
"AZZ",86.73
"NEOG",9.3
"COMP",9
"DOCN",36.87
"BOH",68.77
"CNS",79.06
"KNTK",54.01
"TBBK",52.71
"YELP",35.08
"CWT",47.45
"CAKE",47.27
"AIN",74
"IESC",186.21
"TOWN",34.81
"FFBC",24.9
"CPRX",21.81
"GPOR",178.01
"HI",25.94
"LAUR",19.32
"ENR",30.44
"MYRG",120.5
"SWTX",49.84
"LXP",9.17
"STNE",10.19
"KLIC",36.85
"CDE",6.43
"JBLU",5.67
"HNI",43.63
"AIR",67.96
"SMR",17.6
"BTU",13.35
"BANF",111.13
"PRK",154.63
"PDCO",31.18
"RPD",29.1
"ZD",42.07
"PAR",61.35
"EPAC",43.81
"MTX",68.21
"SHO",9.87
"ARCB",75.84
"FRME",40.68
"NATL",26.93
"AVPT",14.75
"CXW",20.08
"ICFI",87.01
"RRR",45.39
"CALX",33.39
"VIAV",11.15
"WRBY",20.35
"TNDM",19.71
"PRVA",23.24
"VC",80.19
"ACHR",8.31
"ACLS",58.27
"FLG",11.99
"GSHD",116.03
"PRGS",55.34
"WERN",30.22
"HWKN",106.79
"CURB",23.64
"IVT",29.09
"SBCF",26.19
"SMMT",20.13
"ACAD",17.2
"PSMT",85.43
"EXTR",14.8
"FLYW",10.45
"KAR",21.07
"PPBI",22.33
"MRCY",46.44
"RAMP",26.4
"HURN",148.85
"AGX",121.03
"PTGX",53.01
"SXI",174.17
"MBC",13.39
"B",47.48
"AMR",126.74
"ADUS",93.39
"MGNI",13.17
"ROIC",17.49
"GBX",55.5
"CCS",69.21
"STRA",79.72
"VSH",17.1
"BANR",64.72
"PLUS",64.36
"RNST",34.78
"AGYS",74.91
"EFSC",56.65
"CNMD",61.39
"RGTI",11.16
"YOU",26.37
"JJSF",133.48
"STNG",40.3
"PFS",17.08
"PHIN",42.58
"SEM",17.2
"MTRN",87.72
"BANC",14.2
"KYMR",34.49
"NBTB",43.67
"HUT",12.95
"TMDX",67.69
"EVTC",36.9
"RUN",6.97
"OSW",17.39
"BEAM",24.52
"AGIO",31.99
"WAFD",28.34
"LGND",109.95
"HLMN",9.17
"ENVX",8.17
"CRK",18.84
"OMCL",33.22
"IGT",17.36
"EWTX",26.43
"IDYA",19.13
"SYBT",69.12
"TRMK",34.36
"KWR",126.67
"UPWK",13.14
"WSBC",31.98
"TGLS",70.48
"LZB",38.42
"SUPN",32.16
"LMAT",85.11
"FBK",46.76
"MIRM",45.15
"IIPR",64.21
"CABO",238.07
"ATRC",33.78
"MXL",13.23
"ALKT",25.71
"LC",10.82
"DRH",8.04
"GOLF",65.86
"UFPT",216.3
"VSEC",115.88
"OFG",40.86
"KMT",21.48
"NMRK",12.63
"RXRX",6.84
"LGIH",73.38
"CHEF",52.36
"GRBK",58.05
"BATRK",38.98
"ABR",12.23
"ALG",188.09
"NEO",9.84
"ROCK",66.08
"DEI",16
"VYX",10.25
"DBRG",9.59
"CASH",72.04
"AGM",194.26
"REVG",29.97
"AVDX",8.25
"PRM",9.09
"TARS",47.49
"ROG",78.46
"WWW",13.64
"PRKS",48.92
"LTH",30.33
"APLD",7.34
"GERN",1.74
"AKRO",44.82
"MQ",4.32
"FL",16.41
"NGVT",44.23
"TDOC",8.87
"TFIN",60.81
"FBNC",40.42
"JOE",46.33
"LMND",36.98
"IART",23.12
"PRG",26.47
"PGNY",20.91
"DAN",14.47
"OI",12.03
"DFIN",43.8
"LKFN",62.2
"CHCO",117.61
"SONO",11.63
"BHE",40.69
"KN",16.2
"IOVA",3.74
"CWK",10.72
"DVAX",13.63
"SPT",24.51
"PEB",10.9
"WLY",44.49
"CSGS",61.15
"PD",18.06
"NWBI",12.11
"WKC",28.87
"WULF",3.26
"STR",19.99
"PLUG",1.7
"ASAN",14.06
"NNI",114.91
"UCTT",25.34
"EPC",30.22
"NTB",37.91
"WAY",36.55
"PRDO",24.91
"TRUP",36.1
"ASTH",30.6
"UNFI",26.49
"KOS",2.27
"AESI",18.02
"NTCT",21.05
"THS",27.98
