"company","price"
"SFM",150.675
"INSM",77.67
"CRDO",59.595
"PCVX",79.18
"RKLB",20.71
"FTAI",140.215
"CRS",199.505
"AIT",245.42
"FN",213.095
"SSB",98.51
"FLR",37.41
"GTLS",183.99
"MLI",79.41
"HQY",105.705
"IONQ",29.8375
"GKOS",121.205
"EXLS",49.88
"ENSG",131.395
"SPSC",136.175
"BPMC",91.155
"MOD",86.62
"BECN",116.03
"UFPI",108.85
"ONB",23.25
"CVLT",170.99
"SPXC",151
"HALO",57.855
"RVMD",40.44
"EAT",160.245
"TMHC",62.45
"RMBS",58.08
"LNTH",92.94
"AUR",7.045
"COOP",110.63
"CWST",109.89
"BMI",206.705
"CSWI",305.88
"SUM",52.49
"RHP",97.1
"ANF",103.395
"ALTM",5.825
"TRNO",66.74
"HLNE",153.58
"JXN",87.375
"MDGL",362.305
"FSS",84.045
"NXT",47.41
"ALTR",111.53
"GPI",463.785
"JBTM",135.88
"ESNT",56.23
"KNF",95.445
"MMSI",100.86
"HRI",150.82
"STRL",121.095
"MTH",74.675
"HIMS",40.965
"LUMN",4.665
"GBCI",47.86
"CHX",28.75
"CMC",50.02
"GH",42.7
"WTS",213.26
"SIGI",81.855
"GATX",163.07
"MARA",12.325
"ZWS",35.08
"QTWO",86.54
"ACIW",50.73
"HOMB",29.11
"EPRT",32.295
"BE",23.39
"SMTC",38.49
"CYTK",46.64
"UPST",68.35
"DY",164
"PIPR",283.01
"UMBF",108.235
"NOVT",150.39
"QLYS",132.885
"TENB",37.97
"KRG",22.255
"BBIO",33.46
"BCPC",173.47
"UBSI",34.97
"PRMB",33.65
"OPCH",33.01
"ABG",275.259
"KTOS",24.94
"BIPC",39.81
"ALKS",34.68
"AVAV",153.2392
"HWC",55.615
"CWAN",30.215
"LRN",134.285
"SOUN",9.5901
"WK",87.625
"CORT",62.39
"CADE",32.12
"BCC",103.955
"CNR",74.9
"BOOT",130.4
"CTRE",25.86
"KTB",68.545
"RDN",32.3
"AROC",26.615
"BDC",109.57
"IBP",170.98
"ITRI",107.57
"VRNS",42.86
"ACA",93.57
"CBT",85.45
"MAC",19.95
"SKY",102.45
"SM",32.37
"ITGR",126.335
"SITM",167.22
"NSIT",155.2875
"FFIN",36.75
"PRIM",72.05
"SLG",64.32
"AEIS",122.7295
"EXPO",85.59
"MMS",66.73
"NJR",47.72
"SHAK",109.935
"NE",26.32
"SKYW",99.64
"MATX",145.095
"SLAB",141.51
"CALM",87.02
"SANM",83.97
"MGY",23.43
"SFBS",88.43
"PECO",35.99
"VLY",9.49
"FTDR",57.2
"KBH",61.91
"IDCC",208.945
"FELE",102.475
"KAI",385.3843
"FCFS",112.18
"BOX",32.58
"AHR",29.36
"VRRM",25.91
"SWX",74.52
"MUR",27.03
"RDNT",59.535
"STEP",58.7677
"MC",70.16
"IRT",20.78
"GEO",25.525
"POR",44.14
"ESGR",332.35
"ABCB",62.35
"CNX",30.04
"NARI",79.97
"TXNM",51.505
"FUN",46.605
"CNO",40.58
"WHD",56.69
"RXO",19.7
"PLXS",134.66
"GVA",82.765
"BCO",97.27
"ASB",24.2
"TGTX",29.165
"SBRA",16.375
"CBZ",82.29
"BKH",60.12
"SR",76.18
"ENS",103.11
"ASGN",68.955
"GLNG",38.41
"NOG",31.92
"OGS",74.39
"CVCO",527.87
"AVNT",42.83
"PJT",157.485
"KRYS",178.22
"ALE",65.56
"ASO",50.59
"AXSM",128.13
"AX",65.715
"INTA",66.03
"PBH",86.5028
"ATGE",100.8
"AI",26.45
"ORA",68.45
"MIR",15.0936
"JOBY",6.665
"NPO",198.48
"FRSH",17.2699
"URBN",52.98
"ADMA",15.7
"RIOT",8.88
"KFY",64.26
"MWA",25.45
"RUSHA",58.005
"CRC",44.95
"MHO",118.406
"HAE",64.99
"ATMU",39
"LBRT",17.325
"UCB",30.99
"ICUI",156.43
"PTEN",7.98
"ROAD",72.8
"IBOC",65.095
"TDS",35.6
"POWI",63.5675
"RELY",23.72
"TCBI",77.84
"PTCT",51.25
"SKT",35.41
"SRRK",36.9
"BHVN",37.27
"ESE",162.11
"REZI",19.11
"BL",49.19
"APLE",14.38
"TPH",31.53
"HP",26.11
"CRNX",32.59
"PCH",45.54
"SATS",29.04
"SMPL",36.92
"EBC",17.43
"FUL",57.04
"ABM",53.91
"LANC",191.26
"VCYT",35.73
"CDP",26.93
"GMS",80.265
"NWE",54.26
"ZETA",17.865
"SYNA",68.15
"DORM",125
"RNA",29.655
"FORM",34.19
"CCOI",79.115
"OSCR",15.45
"TEX",42.37
"ACVA",16.62
"UEC",5.575
"CNK",25.69
"FULT",19.46
"OTTR",80.095
"TRN",31.14
"CBU",62.335
"HL",5.27
"RYTM",53.2
"PI",94.75
"SXT",69.13
"MGEE",92.96
"BXMT",20.455
"WDFC",239.275
"PATK",90.8
"ATKR",64.54
"AMBA",74.97
"VERX",42.285
"TWST",41.395
"PBF",21.87
"PRCT",68.5
"SNEX",121.69
"BLKB",66.5
"HASI",28.64
"AEO",13.21
"WD",84.27
"TGNA",16.48
"BNL",16.51
"HBI",6.525
"NMIH",35.41
"OSIS",201.17
"CRVL",108
"BGC",9.825
"AUB",34.895
"SHOO",34.725
"BRZE",37.14
"TNET",72.855
"VSCO",28.115
"SG",23.23
"HGV",40.385
"PTON",8.055
"VAL",37.73
"MGRC",125.935
"PFSI",103.2
"NHI",69.8
"ALIT",6.93
"NUVL",76.505
"GHC",958.17
"GFF",73.255
"ALRM",57.79
"CORZ",10.165
"WSFS",52.57
"FBP",18.99
"HCC",51.15
"DNLI",18.805
"HEES",96.76
"NVCR",21.72
"NSP",87.185
"IOSP",103.84
"BUR",15.415
"SLVM",69.525
"ENVA",101.89
"CLSKW",0.5
"HTLF",64.67
"AVA",39.79
"ACLX",61.21
"FOLD",9.06
"CVBF",19.58
"VCEL",52.65
"OUT",18.415
"VCTR",62.66
"RIG",3.15
"DIOD",53.14
"DRS",29.86
"HUBG",40.81
"CATY",45.77
"SFNC",21.24
"BWIN",40.02
"PAYO",10.0302
"AKR",23.14
"FCPT",28.3
"POWL",176.05
"OII",22.145
"TDW",48.17
"BKU",36.98
"APAM",42.155
"CRGY",13.35
"PLMR",122.225
"LIVN",41.64
"GT",9.345
"ASTS",28.09
"USD",57.93
"WNS",57.5
"LCII",104.72
"AWR",76.88
"GNW",6.665
"SDRL",27.87
"INDB",67.53
"CPK",126.585
"UE",20.445
"TTMI",24.8
"CON",22.935
"SIG",52.8076
"IPAR",141.69
"FIBK",30.02
"ARWR",19.505
"AZZ",96.61
"NEOG",10.14
"COMP",9.57
"DOCN",43.31
"BOH",70.42
"CNS",85.24
"KNTK",57.43
"TBBK",54.715
"YELP",34.29
"CWT",45.925
"CAKE",53.235
"AIN",79.25
"IESC",184.16
"TOWN",35.46
"FFBC",26.6
"CPRX",20.535
"GPOR",172.79
"HI",30.435
"LAUR",19.5936
"ENR",30.92
"MYRG",124.21
"SWTX",54.4056
"LXP",8.635
"STNE",9.405
"KLIC",40.255
"CDE",5.22
"JBLU",6.655
"HNI",47.38
"AIR",63.245
"SMR",17.93
"BTU",14.3
"BANF",116.14
"PRK",161.29
"PDCO",31.09
"RPD",30.23
"ZD",43.8
"PAR",62.345
"EPAC",45.53
"MTX",69.41
"SHO",10.375
"ARCB",81
"FRME",41.93
"NATL",28.62
"AVPT",17.42
"CXW",18.115
"ICFI",101.78
"RRR",50.355
"CALX",38.15
"VIAV",11.34
"WRBY",23.97
"TNDM",33.88
"PRVA",24.09
"VC",87.195
"ACHR",8.11
"ACLS",60.375
"FLG",12.06
"GSHD",121.865
"PRGS",55.925
"WERN",32.3368
"HWKN",107.56
"CURB",24.77
"IVT",29.44
"SBCF",27.5
"SMMT",18.845
"ACAD",19.19
"PSMT",90.025
"EXTR",15.2
"FLYW",10.86
"KAR",21.43
"PPBI",23.395
"MRCY",42.98
"RAMP",29.94
"HURN",146.605
"AGX",130.015
"PTGX",35.7
"SXI",186.6
"MBC",14.39
"B",47.48
"AMR",147.8875
"ADUS",95.08
"MGNI",17.34
"ROIC",17.49
"GBX",56.21
"CCS",71.305
"STRA",96.94
"VSH",17.78
"BANR",67.13
"PLUS",65.9191
"RNST",35.38
"AGYS",80.23
"EFSC",57.6
"CNMD",61.72
"RGTI",9.3169
"YOU",22.19
"JJSF",133.2892
"STNG",40.635
"PFS",17.7
"PHIN",50.23
"SEM",18.51
"MTRN",92.62
"BANC",14.625
"KYMR",35.59
"NBTB",46.42
"HUT",14.72
"TMDX",73.53
"EVTC",32.09
"RUN",8.475
"OSW",19.015
"BEAM",27.71
"AGIO",34.505
"WAFD",28.94
"LGND",115.06
"HLMN",10.18
"ENVX",9.57
"CRK",18.51
"OMCL",39.585
"IGT",18.265
"EWTX",25.605
"IDYA",20.92
"SYBT",70.77
"TRMK",35.8
"KWR",138.6188
"UPWK",15.81
"WSBC",34.48
"TGLS",71.02
"LZB",45.93
"SUPN",31.055
"LMAT",104.38
"FBK",48.93
"MIRM",50.87
"IIPR",72.93
"CABO",264.01
"ATRC",39.975
"MXL",15.535
"ALKT",29.495
"LC",12.452
"DRH",8.18
"GOLF",66.42
"UFPT",234.64
"VSEC",100.4462
"OFG",41.35
"KMT",22.27
"NMRK",14.115
"RXRX",8.2376
"LGIH",76.475
"CHEF",63.31
