"company","price"
"SFM",164.925
"INSM",69.205
"CRDO",42.395
"PCVX",33.05
"RKLB",21.48
"FTAI",98.965
"CRS",189.29
"AIT",234.46
"FN",196.93
"SSB",88.34
"FLR",35
"GTLS",129.925
"MLI",73.26
"HQY",84.955
"IONQ",28.63
"GKOS",93.565
"EXLS",44.33
"ENSG",125.455
"SPSC",135.62
"BPMC",86.02
"MOD",78.28
"BECN",124.02
"UFPI",106.83
"ONB",20.69
"CVLT",159.405
"SPXC",130.55
"HALO",58.4
"RVMD",37.3375
"EAT",157.22
"TMHC",57.53
"RMBS",48.565
"LNTH",101.645
"AUR",6.635
"COOP",113.51
"CWST",113.435
"BMI",213.32
"CSWI",309.805
"RHP",86.51
"ANF",72.29
"ALTM",5.84
"TRNO",57.32
"HLNE",147.62
"JXN",75.48
"MDGL",305.86
"FSS",76.28
"NXT",41.765
"ALTR",111.85
"GPI",398.035
"JBTM",101.22
"ESNT",55.58
"KNF",90.87
"MMSI",93.895
"HRI",109.97
"STRL",142.075
"MTH",68.04
"HIMS",27.95
"LUMN",3.3501
"GBCI",41.45
"CHX",25.17
"CMC",43.975
"GH",46.96
"WTS",207.09
"SIGI",91.225
"GATX",143.315
"MARA",14.031
"ZWS",32.885
"QTWO",78.07
"ACIW",52.43
"HOMB",27.35
"EPRT",31.93
"BE",18.085
"SMTC",28.95
"CYTK",39.505
"UPST",46.05
"DY",162.6
"PIPR",232.145
"UMBF",95.445
"NOVT",119.06
"QLYS",123.8
"TENB",32.3
"KRG",21.65
"BBIO",35.51
"BCPC",148
"UBSI",34.24
"PRMB",32.89
"OPCH",32.02
"ABG",222.5355
"KTOS",33.545
"BIPC",36.03
"ALKS",27.71
"AVAV",149.79
"HWC",51.15
"CWAN",22.555
"LRN",140.175
"SOUN",9.395
"WK",71.92
"CORT",71.395
"CADE",28.31
"BCC",94.605
"CNR",73.82
"BOOT",99.65
"CTRE",28.3
"KTB",60.78
"RDN",31.355
"AROC",23.9725
"BDC",99.29
"IBP",162.98
"ITRI",107.13
"VRNS",41.63
"ACA",79.285
"CBT",79.11
"MAC",14.48
"SKY",84.35
"SM",23.15
"ITGR",115.625
"SITM",150.155
"NSIT",135.17
"FFIN",33.265
"PRIM",58.58
"SLG",54.078
"AEIS",95.45
"EXPO",79.76
"MMS",68.5
"NJR",49.32
"SHAK",87.39
"NE",20.205
"SKYW",87.235
"MATX",101.36
"SLAB",101.34
"CALM",93.35
"SANM",79.16
"MGY",21.19
"SFBS",70.14
"PECO",35.59
"VLY",8.58
"FTDR",40.38
"KBH",53.46
"IDCC",194.48
"FELE",89.125
"KAI",308.59
"FCFS",131.73
"BOX",30.72
"AHR",30.53
"VRRM",22.5
"SWX",72.835
"MUR",20.785
"RDNT",49.95
"STEP",49.88
"MC",51.75
"IRT",19.48
"GEO",29.2
