"company","price"
"SFM",136.25
"INSM",76.35
"CRDO",48.28
"PCVX",73.77
"RKLB",18.65
"FTAI",104.02
"CRS",182.1299
"AIT",223.11
"FN",224.215
"SSB",90.83
"FLR",36.76
"GTLS",148.35
"MLI",78.73
"HQY",97.06
"IONQ",24.1
"GKOS",101.74
"EXLS",46.2
"ENSG",125.7
"SPSC",129.425
"BPMC",88.6
"MOD",85.095
"BECN",118.66
"UFPI",106.14
"ONB",20.785
"CVLT",156.5745
"SPXC",134.3971
"HALO",62.185
"RVMD",39.01
"EAT",139.28
"TMHC",58.18
"RMBS",54.09
"LNTH",100.66
"AUR",6.87
"COOP",100.92
"CWST",107.0006
"BMI",197.72
"CSWI",290
"SUM",52.49
"RHP",96.2
"ANF",78.415
"ALTM",5.84
"TRNO",65.97
"HLNE",142.35
"JXN",82.29
"MDGL",339.88
"FSS",76.89
"NXT",44.8625
"ALTR",111.36
"GPI",387.115
"JBTM",122.94
"ESNT",54.44
"KNF",91.33
"MMSI",98.44
"HRI",127.29
"STRL",120.115
"MTH",70.07
"HIMS",32.57
"LUMN",4.8903
"GBCI",44.7101
"CHX",29.35
"CMC",46.185
"GH",42.3899
"WTS",209.615
"SIGI",87.06
"GATX",152.91
"MARA",13.035
"ZWS",33.07
"QTWO",75.355
"ACIW",52.72
"HOMB",28.265
"EPRT",31.21
"BE",24.2
"SMTC",38.235
"CYTK",43.92
"UPST",48.1249
"DY",154.61
"PIPR",254.53
"UMBF",100.515
"NOVT",135.74
"QLYS",125.41
"TENB",36.3
"KRG",21.43
"BBIO",32.85
"BCPC",167.92
"UBSI",34.325
"PRMB",31.8805
"OPCH",32.635
"ABG",230.145
"KTOS",30.19
"BIPC",34.8266
"ALKS",34.1
"AVAV",127.42
"HWC",50.86
"CWAN",26.61
"LRN",119.91
"SOUN",9.94
"WK",88.975
"CORT",55.89
"CADE",29.685
"BCC",98.82
"CNR",74.15
"BOOT",101.74
"CTRE",28.28
"KTB",61.38
"RDN",31.415
"AROC",24.99
"BDC",102.27
"IBP",170.91
"ITRI",105.175
"VRNS",39.9726
"ACA",79.95
"CBT",82.94
"MAC",16.375
"SKY",94.35
"SM",29.695
"ITGR",115.35
"SITM",166.33
"NSIT",151.87
"FFIN",35.65
"PRIM",66.49
"SLG",56.44
"AEIS",105.5
"EXPO",82.48
"MMS",67.09
"NJR",48.96
"SHAK",87.08
"NE",23.84
"SKYW",87.04
"MATX",130.035
"SLAB",124.9
"CALM",82.35
"SANM",75.7391
"MGY",23.2
"SFBS",82.77
"PECO",34.6424
"VLY",8.69
"FTDR",38.25
"KBH",60.385
"IDCC",215.99
"FELE",99.7
"KAI",347.622
"FCFS",115.75
"BOX",31.04
"AHR",29.49
"VRRM",20.4513
"SWX",74.45
"MUR",25.63
"RDNT",46.42
"STEP",53.3
"MC",59.665
"IRT",20.85
"GEO",26.46
"POR",44.62
"ESGR",331.895
"ABCB",57.225
"CNX",30.48
"NARI",79.97
"TXNM",52.42
"FUN",37.685
"CNO",39.895
"WHD",44.94
"RXO",18.23
"PLXS",123.59
"GVA",73.81
"BCO",85.385
"ASB",21.785
"TGTX",41.775
"SBRA",17.195
"CBZ",70.0601
"BKH",60.83
"SR",75.43
"ENS",95.245
"ASGN",68.32
"GLNG",33.67
"NOG",29.375
"OGS",73.53
"CVCO",504.175
"AVNT",40.34
"PJT",141.4369
"KRYS",179.11
"ALE",65.61
"ASO",45.125
"AXSM",122.4
"AX",63.355
"INTA",58.98
"PBH",83.24
"ATGE",97.18
"AI",21.519
"ORA",71.68
"MIR",14.375
"JOBY",6.155
"NPO",173.94
"FRSH",14.96
"URBN",49.24
"ADMA",18.3
"RIOT",7.795
"KFY",67.18
"MWA",27.14
"RUSHA",53.4391
"CRC",43.26
"MHO",116.74
"HAE",66.48
"ATMU",36.385
"LBRT",14.5235
"UCB",28.33
"ICUI",143.46
"PTEN",7.97
"ROAD",71.28
"IBOC",62.39
"TDS",34.76
"POWI",57.065
"RELY",20.2
"TCBI",73.54
"PTCT",54.86
"SKT",31.9
"SRRK",36.05
"BHVN",29.42
"ESE",159.93
"REZI",17.435
"BL",49.89
"APLE",13.465
"TPH",31.41
"IRTC",100.48
"CARG",30.78
"HP",25.84
"CRNX",34.81
"PCH",44.745
"SATS",26.36
"SMPL",34.495
"EBC",16.235
"FUL",53.07
"ABM",47.49
"LANC",180.21
"VCYT",31.51
"CDP",26.7
"UNF",203.525
"GMS",71.9712
"NWE",55.555
"ZETA",14.235
"SYNA",62.8972
"DORM",127
"RNA",31.925
"FORM",31.44
"CCOI",68.432
"OSCR",13.09
"TEX",40.1
"ACVA",14.63
"UEC",5.185
"CNK",24.355
"FULT",17.94
"OTTR",82.97
"TRN",29.1495
"CBU",56.795
"HL",5.795
"RYTM",51.7497
"PI",90.435
"SXT",72.99
"MGEE",93.75
"BXMT",20.565
"WDFC",237.025
"PATK",85.15
"ATKR",64.5599
"AMBA",54.35
"VERX",33.46
"TWST",39.72
"PBF",20.34
"PRCT",57.9401
"SNEX",110.4365
"BLKB",63.78
"HASI",29.07
"AEO",10.995
"WD",86.945
"TGNA",17.615
"BNL",16.96
"HBI",5.965
"NMIH",35.18
"OSIS",182.093
"CRVL",105.94
"BGC",8.825
"AUB",32.19
"SHOO",25.5
"BRZE",34.7
"TNET",74.72
"VSCO",18.68
"SG",24.06
"HGV",34.88
"PTON",6.925
"VAL",38.26
"MGRC",112.35
"PFSI",96.765
"NHI",74.09
"ALIT",6.075
"NUVL",77.12
"GHC",930.17
"GFF",69.52
"ALRM",58.7999
"CORZ",8.8
"WSFS",52.18
"FBP",18.081
"HCC",48.76
"DNLI",15.125
"HEES",93.715
"NVCR",19.85
"NSP",87.6
"IOSP",97.71
"BUR",13.47
"SLVM",65.0269
"ENVA",91.355
"CLSKW",0.3698
"HTLF",64.67
"AVA",39.7
"ACLX",71.6425
"FOLD",8.9191
"CVBF",18.6
"VCEL",45.94
"OUT",16.07
"VCTR",57.97
"RIG",3.055
"DIOD",46.11
"DRS",31.84
"HUBG",37.2
"CATY",43.01
"SFNC",20.319
"BWIN",40.01
"PAYO",7.175
"AKR",21.17
"FCPT",27.775
"POWL",172.68
"OII",20.03
"TDW",40.65
"BKU",34.145
"APAM",39.58
"CRGY",10.815
"PLMR",130.8298
"LIVN",39.31
"GT",9.1839
"ASTS",26.72
"USD",49.27
"WNS",61.52
