"company","price"
"SFM",146.65
"INSM",67.92
"CRDO",35.125
"PCVX",32.305
"RKLB",17.335
"FTAI",89.88
"CRS",151.25
"AIT",207.05
"FN",176.9
"SSB",81.505
"FLR",31.1
"GTLS",116.995
"MLI",69.7
"HQY",79.98
"IONQ",22.755
"GKOS",86.335
"EXLS",41.99
"ENSG",124.64
"SPSC",123.045
"BPMC",79.09
"MOD",71.21
"BECN",122.29
"UFPI",103.275
"ONB",18
"CVLT",140.94
"SPXC",121.685
"HALO",58.855
"RVMD",31.365
"EAT",136.085
"TMHC",56.68
"RMBS",44.21
"LNTH",94.51
"AUR",5.895
"COOP",129.405
"CWST",103.58
"BMI",172.16
"CSWI",260.76
"SUM",52.49
"RHP",80.86
"ANF",71.93
"ALTM",5.84
"TRNO",53.3
"HLNE",132.19
"JXN",70.29
"MDGL",309.6
"FSS",69.8
"NXT",38.22
"ALTR",111.85
"GPI",382.36
"JBTM",99.965
"ESNT",52.96
"KNF",85.08
"MMSI",91.62
"HRI",117.94
"STRL",106.95
"MTH",65.47
"HIMS",27.32
"LUMN",3.415
"GBCI",38.79
"CHX",23.24
"CMC",40.31
"GH",41.585
"WTS",182.02
"SIGI",82.275
"GATX",142.0625
"MARA",11.2523
"ZWS",29.33
"QTWO",68.44
"ACIW",49.59
"HOMB",25.215
"EPRT",29.26
"BE",16.935
"SMTC",27.8
"CYTK",36.185
"UPST",37.2
"DY",139.035
"PIPR",211.7625
"UMBF",86.115
"NOVT",104.92
"QLYS",116.72
"TENB",31.78
"KRG",20.15
"BBIO",30.82
"BCPC",154.3
"UBSI",31.52
"PRMB",33.18
"OPCH",32.93
"ABG",215.87
"KTOS",28.175
"BIPC",33.41
"ALKS",29.4
"AVAV",112.3
"HWC",45.85
"CWAN",22.81
"LRN",125.815
"SOUN",7.59
"WK",65.63
"CORT",74.15
"CADE",26.34
"BCC",91.88
"CNR",64.6
"BOOT",97.61
"CTRE",26.66
"KTB",55.805
"RDN",30.675
"AROC",21.17
"BDC",88.81
"IBP",163.86
"ITRI",94.18
"VRNS",37.91
"ACA",71.065
"CBT",75.59
"MAC",14.005
"SKY",83.47
"SM",21.765
"ITGR",112.27
"SITM",120.92
"NSIT",130.37
"FFIN",31.73
"PRIM",52.94
"SLG",49.15
"AEIS",81.37
"EXPO",76.41
"MMS",67.4
"NJR",47.02
"SHAK",77.23
"NE",19.08
"SKYW",78.79
"MATX",108.26
"SLAB",89.025
"CALM",92.78
"SANM",69.9
"MGY",20.395
"SFBS",69.74
"PECO",34.245
"VLY",8.085
"FTDR",38.04
"KBH",54.49
"IDCC",193.785
"FELE",84.945
"KAI",296.2
"FCFS",120.185
"BOX",29.0175
"AHR",27.64
"VRRM",21.495
"SWX",66.765
"MUR",21.215
"RDNT",48.49
"STEP",42.99
"MC",49.345
"IRT",18.22
"GEO",27.125
"POR",41.59
"ESGR",330.37
"ABCB",50.52
"CNX",28.8
"NARI",79.97
"TXNM",49.64
"FUN",29.9
"CNO",36.035
"WHD",36.895
"RXO",14.095
"PLXS",112.27
"GVA",71.27
"BCO",82.845
"ASB",19.14
"TGTX",36.765
"SBRA",16.43
"CBZ",70.29
"BKH",56.69
"SR",73.645
"ENS",80.48
"ASGN",58.47
"GLNG",32.125
"NOG",22.4
"OGS",72.135
"CVCO",466.23
"AVNT",29.59
"PJT",125.14
"KRYS",163.8
"ALE",64.6
"ASO",36.285
"AXSM",97.86
"AX",56.48
"INTA",51.89
"PBH",81.215
"ATGE",98.76
"AI",18.87
"ORA",68.19
"MIR",13.02
"JOBY",5.5201
"NPO",141.12
"FRSH",12.075
"URBN",46.03
"ADMA",18.3
"RIOT",7.1299
"KFY",60.555
"MWA",22.73
"RUSHA",49.6
"CRC",33.97
"MHO",109
"HAE",59.215
"ATMU",32.07
"LBRT",10.315
"UCB",23.985
"ICUI",141.29
"PTEN",5.6
"ROAD",68.61
"IBOC",56.48
"TDS",35.14
"POWI",42.98
"RELY",18.78
