"company","price"
"SFM",150.865
"INSM",76.66
"CRDO",44.89
"PCVX",69.195
"RKLB",20.11
"FTAI",114.715
"CRS",192.1625
"AIT",235.63
"FN",212.56
"SSB",94.81
"FLR",38.125
"GTLS",157.98
"MLI",79.62
"HQY",89.44
"IONQ",25.66
"GKOS",103.87
"EXLS",47.465
"ENSG",128.86
"SPSC",135.74
"BPMC",91.425
"MOD",88.9272
"BECN",123.85
"UFPI",110.535
"ONB",21.665
"CVLT",169.79
"SPXC",138.01
"HALO",63.54
"RVMD",37.64
"EAT",155.69
"TMHC",61.21
"RMBS",56.595
"LNTH",98.485
"AUR",7.17
"COOP",107.25
"CWST",111.48
"BMI",194.815
"CSWI",303.105
"SUM",52.49
"RHP",95.16
"ANF",74.825
"ALTM",5.84
"TRNO",63.56
"HLNE",154.53
"JXN",87.61
"MDGL",333.3099
"FSS",79.425
"NXT",43.96
"ALTR",111.85
"GPI",420.32
"JBTM",128.49
"ESNT",57.98
"KNF",96.91
"MMSI",104.785
"HRI",139.865
"STRL",127.37
"MTH",72.87
"HIMS",34.7
"LUMN",4.155
"GBCI",45.65
"CHX",30.72
"CMC",49.155
"GH",46.46
"WTS",213.175
"SIGI",89.665
"GATX",158.575
"MARA",13.895
"ZWS",34.24
"QTWO",82.98
"ACIW",55.44
"HOMB",28.785
"EPRT",32.565
"BE",22.545
"SMTC",38.425
"CYTK",43.14
"UPST",54.2229
"DY",158
"PIPR",268.79
"UMBF",104.86
"NOVT",135.23
"QLYS",130.15
"TENB",36.715
"KRG",22.625
"BBIO",36.35
"BCPC",165.065
"UBSI",35.175
"PRMB",34.005
"OPCH",35.1909
"ABG",241.28
"KTOS",31.975
"BIPC",36.37
"ALKS",33.375
"AVAV",126.12
"HWC",54.01
"CWAN",27.29
"LRN",128.13
"SOUN",9.715
"WK",84.89
"CORT",57.15
"CADE",31.16
"BCC",101.13
"CNR",77.15
"BOOT",106.23
"CTRE",28.8
"KTB",64.15
"RDN",33.04
"AROC",27.3
"BDC",105.735
"IBP",178.37
"ITRI",107.345
"VRNS",41.82
"ACA",82.238
"CBT",84.04
"MAC",17.38
"SKY",98.22
"SM",30.715
"ITGR",118.775
"SITM",176.68
"NSIT",154.5
"FFIN",36.78
"PRIM",62.44
"SLG",58.8
"AEIS",105.61
"EXPO",81.25
"MMS",67.13
"NJR",48.3
"SHAK",93.44
"NE",24.865
"SKYW",93.23
"MATX",133.24
"SLAB",121.58
"CALM",93.285
"SANM",78.52
"MGY",25.97
"SFBS",84.273
"PECO",35.77
"VLY",9.06
"FTDR",37.97
"KBH",59.05
"IDCC",225.59
"FELE",98.415
"KAI",346.25
"FCFS",118.74
"BOX",30.765
"AHR",30
"VRRM",21.205
"SWX",72.095
"MUR",28.53
"RDNT",50.72
"STEP",55.64
"MC",62.32
"IRT",21.04
"GEO",29.125
"POR",43.09
"ESGR",332.82
"ABCB",59.38
"CNX",31.945
"NARI",79.97
"TXNM",53.91
"FUN",37.34
"CNO",42.74
"WHD",47.625
"RXO",19.015
"PLXS",130.51
"GVA",78.16
"BCO",86.92
"ASB",23.005
"TGTX",40.995
"SBRA",17.29
"CBZ",74.425
"BKH",59.45
"SR",77.535
"ENS",96.93
"ASGN",64.45
"GLNG",40.11
"NOG",31.41
"OGS",73.29
"CVCO",533.06
"AVNT",39.68
"PJT",146.68
"KRYS",188.59
"ALE",65.56
"ASO",49.01
"AXSM",117.84
"AX",65.555
"INTA",62.31
"PBH",85.445
"ATGE",101.665
"AI",22.93
"ORA",70.38
"MIR",15.235
"JOBY",6.5931
"NPO",178.215
"FRSH",16.1
"URBN",52.13
"ADMA",19.72
"RIOT",8.1299
"KFY",68.25
"MWA",26.75
"RUSHA",55.9442
"CRC",44.81
"MHO",118.225
"HAE",64.05
"ATMU",38.18
"LBRT",15.675
"UCB",28.81
"ICUI",149.235
"PTEN",8.62
"ROAD",78.855
"IBOC",64.27
"TDS",38.45
"POWI",55.07
"RELY",21.36
"TCBI",77.01
"PTCT",55.08
"SKT",32.84
"SRRK",32.07
"BHVN",28.705
"ESE",163.19
"REZI",18.54
"BL",50.4
"APLE",13.25
"TPH",32.57
"IRTC",106.04
"CARG",31.39
"HP",26.16
"CRNX",33.4
"PCH",44.63
"SATS",26.67
"SMPL",33.424
"EBC",16.825
"FUL",54.205
"ABM",47.655
"LANC",176.955
"VCYT",31.51
"CDP",27.1
"UNF",174.7468
"GMS",75.87
"NWE",55.55
"ZETA",15.15
"SYNA",64.205
"DORM",125.245
"RNA",32.01
"FORM",30.67
"CCOI",63.57
"OSCR",13.69
"TEX",40.48
"ACVA",15.83
"UEC",5.335
"CNK",25.81
"FULT",18.425
"OTTR",80.735
"TRN",29.37
"CBU",58.25
"HL",5.855
"RYTM",53.26
"PI",90.42
"SXT",73.03
"MGEE",90.8541
"BXMT",20.185
"WDFC",233.05
"PATK",87.425
"ATKR",63.75
"AMBA",53.6
"VERX",35.6
"TWST",42.16
"PBF",19.38
"PRCT",62.7
"SNEX",79.72
"BLKB",62.615
"HASI",29.38
"AEO",11.84
"WD",85.66
"TGNA",18.87
"BNL",17.075
"HBI",5.875
"NMIH",36.24
"OSIS",200.195
"CRVL",110.84
"BGC",9.71
"AUB",31.905
"SHOO",26.88
"BRZE",37.995
"TNET",78.92
"VSCO",19.595
"SG",25.84
"HGV",38.63
"PTON",6.995
"VAL",40.34
"MGRC",117.57
"PFSI",101.96
"NHI",73.87
"ALIT",6.2501
"NUVL",72.57
"GHC",969
"GFF",73
"ALRM",58.15
"CORZ",7.9211
"WSFS",53.03
"FBP",19.31
"HCC",49.01
"DNLI",13.8
"HEES",95.52
"NVCR",18.3
"NSP",88.99
"IOSP",97.835
"BUR",13.79
"SLVM",67.795
"ENVA",100.77
"CLSKW",0.2906
"HTLF",64.67
"AVA",40.015
"ACLX",70.515
"FOLD",8.445
"CVBF",18.92
"VCEL",46.575
"OUT",16.46
"VCTR",61.2342
"RIG",3.225
"DIOD",45.98
"DRS",34.08
"HUBG",38
"CATY",43.85
"SFNC",20.775
"BWIN",44.675
"PAYO",7.59
"AKR",21.295
"FCPT",28.56
"POWL",187.04
"OII",22.32
"TDW",44.5958
"BKU",35.68
"APAM",40.92
"CRGY",11.63
"PLMR",134.745
"LIVN",39.8
"GT",9.455
"ASTS",27.8897
"USD",44.48
"WNS",63.39
"LCII",90.8
"AWR",75.54
"GNW",7.155
"SDRL",25.79
"INDB",65.39
