"company","price"
"SFM",172.18
"INSM",71.89
"CRDO",43.645
"PCVX",34.67
"RKLB",22.64
"FTAI",109.425
"CRS",197.88
"AIT",243.395
"FN",208.895
"SSB",87.69
"FLR",35.19
"GTLS",137.935
"MLI",73.25
"HQY",87.25
"IONQ",28.37
"GKOS",93.83
"EXLS",45.205
"ENSG",128.12
"SPSC",142.3
"BPMC",89.48
"MOD",81.8
"BECN",124.17
"UFPI",102.05
"ONB",21.035
"CVLT",169.03
"SPXC",134.1
"HALO",61.645
"RVMD",40.71
"EAT",138.3
"TMHC",56.98
"RMBS",50.3
"LNTH",104.08
"AUR",7.285
"COOP",120.345
"CWST",117.36
"BMI",217.72
"CSWI",316.98
"RHP",87.79
"ANF",69.835
"ALTM",5.84
"TRNO",56.83
"HLNE",153.49
"JXN",79.465
"MDGL",342.77
"FSS",76
"NXT",43.24
"ALTR",111.85
"GPI",406.605
"JBTM",105.94
"ESNT",56.26
"KNF",92.755
"MMSI",95.34
"HRI",107.565
"STRL",150.24
"MTH",67.19
"HIMS",35.9464
"LUMN",3.5544
"GBCI",41.4
"CHX",24.665
"CMC",44.84
"GH",49.65
"WTS",207.7
"SIGI",88.47
"GATX",145.485
"MARA",14.27
"ZWS",34.25
"QTWO",79.825
"ACIW",53.54
"HOMB",28.05
"EPRT",32.205
"BE",19.04
"SMTC",31.09
"CYTK",40.91
"UPST",49.22
"DY",168.04
"PIPR",241.58
"UMBF",98.34
"NOVT",118.38
"QLYS",128.5
"TENB",33.77
"KRG",21.685
"BBIO",36.675
"BCPC",156.955
"UBSI",34.35
"PRMB",32.53
"OPCH",31.25
"ABG",217.265
"KTOS",34.31
"BIPC",36.5999
"ALKS",28.71
"AVAV",153.82
"HWC",52.93
"CWAN",22.78
"LRN",141.99
"SOUN",9.69
"WK",74.98
"CORT",73.425
"CADE",29.91
"BCC",94.56
"CNR",75
"BOOT",103.33
"CTRE",28.77
"KTB",60.83
"RDN",31.6275
"AROC",24.42
"BDC",102.975
"IBP",167.46
"ITRI",110.66
"VRNS",42.76
"ACA",80.545
"CBT",79.16
"MAC",14.83
"SKY",85.99
"SM",23.23
"ITGR",126.99
"SITM",148.5901
"NSIT",139.16
"FFIN",33.81
"PRIM",61.75
"SLG",53.49
"AEIS",98.11
"EXPO",79.02
"MMS",67.525
"NJR",49.16
"SHAK",88.29
"NE",22.68
"SKYW",88.675
"MATX",109.85
"SLAB",103.25
"CALM",96.36
"SANM",77.745
"MGY",21.425
"SFBS",72.34
"PECO",35.12
"VLY",8.685
"FTDR",41.04
"KBH",53.135
"IDCC",201.86
"FELE",84.744
"KAI",317.43
"FCFS",133.5
"BOX",31.485
"AHR",32.08
"VRRM",22.35
"SWX",73.01
"MUR",21.22
"RDNT",52.475
"STEP",50.28
"MC",53.1499
"IRT",19.5
"GEO",31.7
"POR",41.805
"ESGR",334.54
"ABCB",59.15
"CNX",29.675
"TXNM",53.68
"FUN",34.92
"CNO",37.875
"WHD",39.46
"RXO",13.72
"PLXS",125.46
"GVA",81.235
"BCO",89.645
"ASB",22.55
"TGTX",43.6
"SBRA",17.59
"CBZ",67.34
"BKH",61.27
"SR",77.3
"ENS",87.325
"ASGN",51.1
"GLNG",41.87
"NOG",24.835
"OGS",78.69
"CVCO",495.31
"AVNT",33.76
"PJT",141.14
"KRYS",171.21
"ALE",65.27
"ASO",37.98
"AXSM",110.67
"AX",63.71
"INTA",54.47
"PBH",82.36
"ATGE",107.445
"AI",22.56
"ORA",73.62
"MIR",15.42
"JOBY",6.545
"NPO",152.035
"FRSH",14.285
"URBN",53.39
"ADMA",23.97
"RIOT",7.435
"KFY",61.825
"MWA",26.27
"RUSHA",51.13
"CRC",35.34
"MHO",105.78
"HAE",64.095
"ATMU",34.64
"LBRT",12.28
"UCB",27.73
"ICUI",139.57
"PTEN",5.9448
"ROAD",81.445
"IBOC",61.6325
"TDS",37.795
"POWI",49.84
"RELY",20.47
"TCBI",68.96
"PTCT",49.97
"SKT",31.6
"SRRK",32.84
"BHVN",21.2252
"ESE",158.485
"REZI",16.625
"BL",47.795
"APLE",11.855
"TPH",30.19
"IRTC",107.35
"CARG",28.68
"HP",19.84
"CRNX",33.525
"PCH",38.81
"SATS",22.88
"SMPL",35.69
"EBC",14.96
"FUL",54.11
"ABM",48.925
"LANC",192.695
"VCYT",31.51
"CDP",25.835
"UNF",180.515
"GMS",73.7
"NWE",59.71
"ZETA",13.455
"SYNA",55.65
"DORM",112.47
"RNA",32.0134
"FORM",28.26
"CCOI",55.04
"OSCR",13.385
"TEX",35.87
"ACVA",15.08
"UEC",5.285
"CNK",29.84
"FULT",16.87
"OTTR",78.645
"TRN",25.1
"CBU",54.42
"HL",5.815
"RYTM",65.28
"PI",90.07
"SXT",92.82
"MGEE",90.99
"BXMT",18.99
"WDFC",228.49
"PATK",79.16
"ATKR",63.73
"AMBA",47.68
"VERX",40.24
"TWST",39.84
"PBF",17.18
"PRCT",56.2325
"SNEX",89.585
"BLKB",64.1117
"HASI",25.63
"AEO",10.77
"WD",77.54
"TGNA",16.42
"BNL",16.2
"HBI",4.845
"NMIH",33.72
"OSIS",204.06
"CRVL",109.17
"BGC",9.145
"AUB",27.8
"SHOO",20.97
"BRZE",31.5025
"TNET",77.51
"VSCO",18.61
"SG",19.245
"HGV",34
"PTON",6.9816
"VAL",33.71
"MGRC",107.985
"PFSI",96.7
"NHI",75.0125
"ALIT",5.295
"NUVL",76.925
"GHC",929.8
"GFF",68.085
"ALRM",53.85
"CORZ",8.265
"WSFS",52.23
"FBP",19.855
"HCC",48.58
"DNLI",16.71
"HEES",89.55
"NVCR",18.465
"NSP",67.97
"IOSP",90.02
"BUR",13.705
"SLVM",60.77
"ENVA",100
"CLSKW",0.1896
"AVA",41.79
"ACLX",65.45
"FOLD",7.565
"CVBF",18.745
"VCEL",39.25
"OUT",15.39
"VCTR",57.96
"RIG",2.23
"DIOD",38.66
"DRS",37.025
"HUBG",31.98
"CATY",42.26
"SFNC",18.77
"BWIN",42.185
"PAYO",7.07
"AKR",19.62
"FCPT",27.96
"POWL",186.44
"OII",18.51
"TDW",37.37
"BKU",32.96
"APAM",37.49
"CRGY",8.555
"PLMR",148.88
"LIVN",37.81
"GT",11.01
"ASTS",24.11
"USD",39.17
"WNS",60.275
"LCII",78.89
"AWR",80.474
"GNW",6.865
"SDRL",20.97
"INDB",59.245
"CPK",132.02
"UE",18.305
"TTMI",20.55
"CON",22.165
"SIG",60.08
"IPAR",110.035
"FIBK",27.91
"ARWR",13.6616
"AZZ",88.22
"NEOG",5.11
"COMP",7.63
"DOCN",31.675
"BOH",66.625
"CNS",77.355
"KNTK",43.11
"TBBK",48.64
"YELP",35.85
"CWT",50.36
"CAKE",50.395
"AIN",66.73
"IESC",199.74
"TOWN",33.1627
"FFBC",23.4
"CPRX",24.42
"GPOR",178.01
"HI",22.73
"LAUR",20.23
"ENR",27.12
"MYRG",124.49
"SWTX",46.205
"LXP",7.895
"STNE",14.225
"KLIC",32.955
"CDE",5.5228
"JBLU",4.17
"HNI",42.55
"AIR",53.925
"SMR",17.065
"BTU",12.881
"BANF",119.165
"PRK",151.66
"PDCO",31.33
"RPD",24.44
"ZD",30.85
"PAR",59.565
"EPAC",40.57
"MTX",51.4
"SHO",8.25
"ARCB",56.87
"FRME",35.93
"NATL",28.245
"AVPT",16.439
"CXW",22.82
"ICFI",84.9081
"RRR",43.48
"CALX",40.535
"VIAV",10.695
"WRBY",15.88
"TNDM",17.1425
"PRVA",23.62
"VC",80.76
"ACHR",8.8201
"ACLS",48.77
"FLG",12.015
"GSHD",95.395
"PRGS",59.84
"WERN",27.77
"HWKN",124
"CURB",23.01
"IVT",28.07
"SBCF",24.07
"SMMT",23.569
"ACAD",14.58
"PSMT",100.625
"EXTR",13.35
"FLYW",9.395
"KAR",18.49
"PPBI",20.67
"MRCY",50.315
"RAMP",27.335
"HURN",134.64
"AGX",152.5
"PTGX",45.8444
"SXI",141.695
"MBC",12.04
"AMR",122.89
"ADUS",103.08
"MGNI",12.37
"GBX",42.91
"CCS",54.25
"STRA",82.17
"VSH",13.13
"BANR",61.57
"PLUS",62.81
"RNST",32.35
"AGYS",74.75
"EFSC",51.73
"CNMD",51.765
"RGTI",8.935
"YOU",25.26
"JJSF",130.655
"STNG",37.55
"PFS",16.65
"PHIN",41.3
"SEM",18.48
"MTRN",83.34
"BANC",13.53
"KYMR",34.355
"NBTB",43.13
"HUT",13.085
"TMDX",92.195
"EVTC",34.1
"RUN",7.31
"OSW",17.44
"BEAM",20.07
"AGIO",29.21
"WAFD",28.6163
"LGND",112.47
"HLMN",7.175
"ENVX",6.855
"CRK",19.015
"OMCL",31.43
"IGT",16.53
"EWTX",15.55
"IDYA",20.02
"SYBT",74.27
"TRMK",34.05
"KWR",106.75
"UPWK",13.365
"WSBC",29.91
"TGLS",71.58
"LZB",39.86
"SUPN",32.59
"LMAT",92.545
"FBK",42.9
"MIRM",42.755
"IIPR",52.3802
"CABO",273.675
"ATRC",35.41
"MXL",10.14
"ALKT",26.405
"LC",10.9901
"DRH",7.25
"GOLF",65.4
"UFPT",214.975
"VSEC",115.305
"OFG",39.7
"KMT",19.37
"NMRK",11.135
"RXRX",5.855
"LGIH",54.61
"CHEF",53.49
"GRBK",58.095
"BATRK",39.9797
"ABR",11.55
"ALG",168.58
"NEO",6.595
"ROCK",53.13
"DEI",13.92
"VYX",8.69
"DBRG",8.33
"CASH",80.05
"AGM",176.75
"REVG",32.35
"AVDX",8.185
"PRM",10.215
"TARS",50.81
"ROG",58.54
"WWW",13.01
"PRKS",43.535
"LTH",31.64
"APLD",4.525
"GERN",1.395
"AKRO",43.28
"MQ",4.095
"FL",12.69
"NGVT",33.535
"TDOC",7.395
"TFIN",54.085
"FBNC",41.095
"JOE",42.49
"LMND",29.971
"IART",17.41
"PRG",26.07
"PGNY",23.1
"DAN",12.87
"OI",12.105
"DFIN",46.265
"LKFN",55.83
"CHCO",117.625
"SONO",9.435
"BHE",38.32
"KN",15.975
"IOVA",3.63
"CWK",9.505
"DVAX",11.63
"SPT",21.33
"PEB",9.09
"WLY",44.05
"CSGS",60.42
"PD",15.85
"NWBI",12.42
"WKC",24.885
"WULF",2.935
"STR",17.589
"PLUG",0.9687
"ASAN",16
"NNI",107.92
"UCTT",19.41
"EPC",30.965
"NTB",40.49
"WAY",37.01
"PRDO",25.12
"TRUP",37.85
"ASTH",31.54
"UNFI",26.29
"KOS",1.69
"AESI",14.3
"NTCT",21.34
"THS",22.72
"FCF",15.605
"SKWD",53.29
"TNC",73.335
"ALGT",46.495
"GEF",54.17
"BCRX",8.52
"SSRM",10.38
"SGRY",22.3021
"UPBD",20.63
"MNKD",4.845
"CENTA",30.47
"MLKN",16.62
"CLDX",21.4552
"TVTX",20.03
"CUBI",50.63
"VRNT",18.35
"XHR",10.67
"BFH",48.52
"NIC",117.735
"KGS",34.9
"STC",65.1
"RLJ",7.08
"LTC",35.54
"APGE",38.43
"ADNT",12.92
"VERA",23.88
"PHR",25.04
"NWN",43.815
"HE",10.5
"TALO",7.385
"CTS",39.8175
"GTY",27.96
"HELE",28.35
"VRTS",153.73
"SJW",56.425
"VITL",33.7
"CODI",17.37
"SASR",27.95
"INSW",34.585
"HLIO",27.95
"NBHC",36.5
"HOPE",10.16
"NVAX",6.47
"ANDE",38.08
"ALHC",17.57
"ADEA",12.52
"TCBK",38.91
"BKE",34.97
"ARQT",14.77
"LNN",129.28
"CGON",27.45
"WT",8.745
"DNOW",16.245
"STEL",25.21
"VECO",18.92
"GNL",7.615
"SPNT",16.945
"COCO",31.36
"PLAB",18.63
"HMN",42.0923
"VSAT",9.535
"AMRX",7.835
"DHT",10.63
"XMTR",25.73
"HRMY",29.54
"SOC",19.74
"TILE",18.97
"TGI",25.435
"NRIX",11.6374
"WGO",32.62
"MSGE",33.035
"UNIT",4.925
"PWP",17.36
"MTTR",5.38
"AMPH",24.44
"SDGR",26.26
"MCY",55.8
"HTH",29.37
"GSAT",19.73
"WABC",48.69
"FSLY",5.955
"CSTM",9.495
"APPN",30.89
"ATEN",16.69
"IMVT",15.535
"VRDN",13.32
"XNCR",10.8
"LEU",70.655
"VBTX",23.5
"QCRH",66.1325
"ALEX",16.99
"SCL",52.31
"SABR",2.425
"INFN",6.64
"HLIT",9.52
"CBRL",42.32
"PRAX",37.455
"USPH",71.9
"DXPE",86.85
"PZZA",33.9
"STBA",37.21
"LADR",10.47
"AAOI",12.97
"XPRO",7.97
"WOR",50.5
"CWH",14.205
"ESRT",7.015
"SFL",8.34
"VICR",51.475
"ELME",15.455
"NSSC",22.94
"WTTR",8.79
"UMH",17.715
"PAGS",10.095
"BUSE",20.92
"AMWD",59.14
"ARDX",5.495
"FUBO",3.16
"MRC",11.77
"ARI",9.495
"GDYN",14.09
"USLM",93.675
"CRAI",162.205
"COMM",3.935
"JANX",32.28
"CMPR",42.685
"BLBD",35.635
"OCUL",8.32
"HLX",6.22
"APOG",40.39
"INMD",14.29
"GIII",24.88
"SLNO",75.85
"TWO",12.465
"AIV",7.82
"JBGS",14.14
"UVV",57.91
"TROX",5.51
"MD",12.67
"SCSC",33.3781
"FOXF",20.665
"OXM",49.29
"LOB",26.57
"JAMF",11.84
"VRE",15.3
"PCT",7.03
"RVLV",20.86
"DK",13.975
"ATEC",11.4499
"THRM",25.77
"AAT",18.69
"ECPG",35.025
"AORT",24.21
"NHC",96.7486
"PEBO",29.43
"CDNA",18.4
"KALU",64.025
"RC",4.455
"AMC",2.695
"BHLB",25.15
"SAFT",77.66
"SNDX",13.655
"SPHR",28.685
"STAA",18.735
"EVH",9.745
"CARS",12.2
"DGII",27.91
"DESP",19.42
"QNST",17.75
"RXST",14.89
"DCOM",26.17
"COUR",8.42
"TPC",22.03
"ARLO",9.945
"GABC",37.64
"OBK",32.0579
"BTSG",17.495
"SBH",7.995
"CIM",12.28
"ARVN",9.525
"MODG",6.715
"NTLA",8.43
"DBD",43.99
"PMT",12.85
"MYGN",7.315
"CNNE",18.06
"AGL",3.855
"XRX",4.435
"COHU",16.525
"BBSI",40.87
"IRON",47.15
"ATSG",22.48
"DYN",11.95
"OCFC",16.76
"OMI",7.08
"CIFR",3.0901
"PRO",17.815
"GBTG",6.75
"SRCE",60.57
"PDM",5.72
"KLG",17.82
"IBTA",49.43
"DEA",20.275
"JBI",7.095
"SCS",10.0008
"LFST",6.595
"EMBC",12.45
"LZ",7.415
"FA",14.445
"PENG",17.2
"EVRI",13.975
"GOGL",7.69
"WVE",7.45
"UUUU",4.445
"WINA",364.33
"RSI",12.42
"LMB",92.68
"BLX",39.12
"EIG",49.07
"INOD",37.74
"HCI",145.21
"XPEL",28.43
"FBMS",33.81
"AUPH",8.14
"FDP",34.63
"ARRY",5.365
"NTST",16.12
"PCRX",26.95
"NAVI",12.58
"ANIP",71.655
"KW",6.445
"MDXG",7.0256
"CENX",16.78
"AMN",20.475
"NVEE",17.765
"UTI",28.28
"MCRI",78.085
"DOLE",14.895
"AMSC",20.29
"AHCO",8.47
"EFC",13.2139
"CMCO",15.16
"CXM",7.745
"MFA",9.885
"NX",16.565
"HROW",25.225
"WMK",84.36
"CSR",60.69
"BFC",112.63
"SGHC",8.105
"IMAX",24.07
"BLFS",24.99
"KFRC",36.39
"SAH",60.87
"PL",3.455
"VIR",6.035
"TRS",23.74
"INVA",18.63
"PRLB",35.385
"PFC",28.04
"FBRT",11.5498
"DLX",15.45
"ARR",16.745
"DX",12.495
"COLL",27.65
"AMSF",49.3
"PARR",14.51
"WGS",116.64
"CCB",86.18
"VTLE",15.73
"DRVN",16.606
"WS",25.69
"BLMN",8.005
"ICHR",20.085
"RDFN",9.43
"BRKL",10.52
"CDRE",29.405
"TNK",42.71
"THR",26.47
"NEXT",7.72
"NN",12.86
"TPB",60.3997
"FIZZ",43.57
"ACT",35.45
"SBSI",28.535
"BV",13.94
"ADPT",7.645
"BY",25.865
"PLAY",19.84
"UVSP",29.74
"ACMR",18.435
"DCO",57.36
"HSII",38.72
"FMBH",33.905
"AOSL",19.47
"IMKTA",61.75
"BKD",6.54
"EXPI",9.045
"REAL",6.01
"CLB",11.67
"VMEO",5.175
"PUMP",5.595
"BDN",3.995
"MSEX",62.58
"BXC",71.955
"TRNS",80.5
"LQDA",13.93
