"company","price"
"SFM",135.36
"INSM",72.4675
"CRDO",42.18
"PCVX",68.02
"RKLB",17.6
"FTAI",103.17
"CRS",178.73
"AIT",223.5001
"FN",193.97
"SSB",90.865
"FLR",35.545
"GTLS",146.22
"MLI",81.495
"HQY",94.8
"IONQ",18.42
"GKOS",96.79
"EXLS",46.25
"ENSG",127.96
"SPSC",125.49
"BPMC",85.8
"MOD",77.57
"BECN",118.18
"UFPI",106.25
"ONB",19.97
"CVLT",151.26
"SPXC",134.09
"HALO",61.385
"RVMD",37.51
"EAT",141.31
"TMHC",60.8
"RMBS",51.71
"LNTH",106.375
"AUR",6.355
"COOP",98.91
"CWST",106.81
"BMI",207.28
"CSWI",291.2
"SUM",52.49
"RHP",97.2
"ANF",77.42
"ALTM",5.84
"TRNO",67.045
"HLNE",138.03
"JXN",80.9847
"MDGL",318.855
"FSS",80.745
"NXT",44.185
"ALTR",111.32
"GPI",429.99
"JBTM",125.31
"ESNT",54.54
"KNF",87.595
"MMSI",97.925
"HRI",127.59
"STRL",115.22
"MTH",74.44
"HIMS",35.35
"LUMN",4.815
"GBCI",44.925
"CHX",28.72
"CMC",44.23
"GH",41
"WTS",211.495
"SIGI",83.53
"GATX",152.07
"MARA",13.155
"ZWS",33.37
"QTWO",73.72
"ACIW",52
"HOMB",27.95
"EPRT",31.15
"BE",24.2028
"SMTC",32.72
"CYTK",42.75
"UPST",46.7
"DY",139.8
"PIPR",249.19
"UMBF",99.23
"NOVT",137.61
"QLYS",124.29
"TENB",36.58
"KRG",21.97
"BBIO",31.64
"BCPC",168.935
"UBSI",34.23
"PRMB",30.72
"OPCH",33.71
"ABG",244.55
"KTOS",29.13
"BIPC",35.785
"ALKS",34.43
"AVAV",123.44
"HWC",50.4
"CWAN",27.56
"LRN",119.12
"SOUN",8.5871
"WK",85.22
"CORT",56.575
"CADE",29.31
"BCC",99.0875
"CNR",75.075
"BOOT",101.17
"CTRE",25.93
"KTB",59.85
"RDN",31.27
"AROC",24.275
"BDC",101.395
"IBP",170.905
"ITRI",103.35
"VRNS",40.04
"ACA",80.66
"CBT",84.68
"MAC",16.11
"SKY",93.65
"SM",28.96
"ITGR",119.85
"SITM",153.65
"NSIT",156.54
"FFIN",35.16
"PRIM",63.43
"SLG",57.61
"AEIS",102.65
"EXPO",82.48
"MMS",68.69
"NJR",48.15
"SHAK",86.785
"NE",23.1
"SKYW",83.92
"MATX",131.455
"SLAB",124.12
"CALM",87.4
"SANM",74.54
"MGY",23.28
"SFBS",82.155
"PECO",34.93
"VLY",8.5996
"FTDR",38.01
"KBH",63.36
"IDCC",210.33
"FELE",99.715
"KAI",354.95
"FCFS",116.21
"BOX",31.73
"AHR",28.63
"VRRM",19.87
"SWX",72.2256
"MUR",25.31
"RDNT",48.825
"STEP",49.505
"MC",60.04
"IRT",20.725
"GEO",23.33
"POR",44.195
"ESGR",332.025
"ABCB",56.4
"CNX",30.09
"NARI",79.97
"TXNM",50.98
"FUN",34.89
"CNO",38.77
"WHD",46.565
"RXO",18.62
"PLXS",123.08
"GVA",72.11
"BCO",87.325
"ASB",21.23
"TGTX",38.44
"SBRA",16.62
"CBZ",69.535
"BKH",60.565
"SR",75.25
"ENS",98.22
"ASGN",71.41
"GLNG",31.95
"NOG",28.13
"OGS",73.775
"CVCO",504.295
"AVNT",40.12
"PJT",144.56
"KRYS",181.29
"ALE",65.305
"ASO",47.62
"AXSM",118.66
"AX",63.04
"INTA",59.08
"PBH",86.41
"ATGE",92.91
"AI",21.06
"ORA",71.1
"MIR",13.89
"JOBY",6.0561
"NPO",168.97
"FRSH",14.87
"URBN",54.54
"ADMA",17.15
"RIOT",7.565
"KFY",67.83
"MWA",26.52
"RUSHA",54.44
"CRC",42.69
"MHO",119.28
"HAE",68.0028
"ATMU",36.53
"LBRT",14.5
"UCB",28.23
"ICUI",134.445
"PTEN",7.685
"ROAD",68.175
"IBOC",61.91
"TDS",33.68
"POWI",55.26
"RELY",19.96
"TCBI",72.08
"PTCT",51.48
"SKT",32.58
"SRRK",34.51
"BHVN",27.59
"ESE",158.425
"REZI",17.89
"BL",48.12
"APLE",13.815
"TPH",32.6
"IRTC",103.22
"CARG",31.76
"HP",25.59
"CRNX",33.41
"PCH",45.14
"SATS",26.68
"SMPL",35.75
"EBC",15.58
"FUL",55.74
"ABM",50.47
"LANC",186.06
"VCYT",30.99
"CDP",26.7
"UNF",206.15
"GMS",71.01
"NWE",55.5
"ZETA",14.18
"SYNA",62.67
"DORM",126.01
"RNA",29.435
"FORM",30.74
"CCOI",70.62
"OSCR",14.435
"TEX",39.84
"ACVA",13.47
"UEC",5.0283
"CNK",24.13
"FULT",17.32
"OTTR",81.68
"TRN",29.48
"CBU",56.64
"HL",5.37
"RYTM",49.25
"PI",94.08
"SXT",73
"MGEE",92.97
"BXMT",20.22
"WDFC",249.24
"PATK",85.94
"ATKR",63.485
"AMBA",48.78
"VERX",31.57
"TWST",38.15
"PBF",20.05
"PRCT",59.76
"SNEX",110.1664
"BLKB",67.8
"HASI",28.51
"AEO",11.475
"WD",85.74
"TGNA",17.48
"BNL",16.905
"HBI",5.845
"NMIH",34.64
"OSIS",182.87
"CRVL",105.765
"BGC",8.62
"AUB",31.97
"SHOO",27.09
"BRZE",32.96
"TNET",73.555
"VSCO",16.92
"SG",24.5
"HGV",36.05
"PTON",5.715
"VAL",36.37
"MGRC",109.9
"PFSI",97.04
"NHI",72.74
"ALIT",6.035
"NUVL",65.85
"GHC",902.68
"GFF",69.05
"ALRM",58.47
"CORZ",8.355
"WSFS",50.52
"FBP",17.48
"HCC",47.95
"DNLI",14.665
"HEES",93.795
"NVCR",20.645
"NSP",90.95
"IOSP",99.785
"BUR",13.16
"SLVM",66.97
"ENVA",88.89
"CLSKW",0.415
"HTLF",64.67
"AVA",39.01
"ACLX",69.04
"FOLD",8.755
"CVBF",18.83
"VCEL",47.39
"OUT",16.75
"VCTR",55.51
"RIG",2.9499
"DIOD",44.7
"DRS",31.395
"HUBG",38.3
"CATY",42.89
"SFNC",19.91
"BWIN",39.23
"PAYO",7.085
"AKR",21.775
"FCPT",28.535
"POWL",163.525
"OII",19.33
"TDW",40.525
"BKU",32.42
"APAM",40.405
"CRGY",10.525
"PLMR",129.45
"LIVN",38.245
"GT",9.26
"ASTS",28.15
"USD",42.72
"WNS",59.02
"LCII",91.24
"AWR",81.09
"GNW",6.485
"SDRL",23.475
"INDB",61.125
"CPK",128.45
"UE",19.13
"TTMI",21.97
"CON",21.499
"SIG",46.495
"IPAR",130.31
"FIBK",27.79
"ARWR",14.34
"AZZ",90.18
"NEOG",9.845
"COMP",8.545
"DOCN",36.275
"BOH",67.545
"CNS",82.61
"KNTK",50.9
"TBBK",50.14
"YELP",35.295
"CWT",48.01
"CAKE",47.965
"AIN",73.73
"IESC",166.83
"TOWN",33.7
"FFBC",24.42
"CPRX",20.82
"GPOR",163.595
"HI",25.97
"LAUR",19.11
"ENR",30.52
"MYRG",112.14
"SWTX",48.9
"LXP",9.09
"STNE",9.09
"KLIC",35.4
"CDE",5.395
"JBLU",5.7686
"HNI",44.185
"AIR",64.565
"SMR",16.24
"BTU",13.56
"BANF",108.79
"PRK",152.26
"PDCO",31.14
"RPD",27.82
"ZD",40.37
"PAR",62.81
"EPAC",44.745
"MTX",66.47
"SHO",9.9801
"ARCB",74.415
"FRME",39.17
"NATL",25.34
"AVPT",13.56
"CXW",18.91
"ICFI",87.68
"RRR",42.84
"CALX",30.91
"VIAV",10.78
"WRBY",21.02
"TNDM",17.905
"PRVA",23.78
"VC",84.95
"ACHR",6.8999
"ACLS",56.895
"FLG",10.91
"GSHD",115.84
"PRGS",55.3
"WERN",31.4
"HWKN",105.93
"CURB",23.82
"IVT",28.51
"SBCF",25.58
"SMMT",18.44
"ACAD",16.97
"PSMT",86.57
"EXTR",14.27
"FLYW",9.96
"KAR",20.91
"PPBI",21.11
"MRCY",42.3
"RAMP",25.702
"HURN",145.15
"AGX",110.48
"PTGX",57.065
"SXI",185.97
"MBC",13.45
"B",47.48
"AMR",138.8
"ADUS",95.54
"MGNI",12.675
"ROIC",17.49
"GBX",54.97
"CCS",70.96
"STRA",81.9
"VSH",17.045
"BANR",62.99
"PLUS",66.07
"RNST",33.59
"AGYS",73.98
"EFSC",54.64
"CNMD",62.43
"RGTI",7.9401
"YOU",24.91
"JJSF",137.08
"STNG",37.44
"PFS",16.38
"PHIN",41.25
"SEM",17.1432
"MTRN",84.42
"BANC",13.275
"KYMR",32.46
"NBTB",43.04
"HUT",11.505
"TMDX",66.515
"EVTC",35.995
"RUN",6.66
"OSW",17.4
"BEAM",25.48
"AGIO",31.66
"WAFD",27.83
"LGND",105.81
"HLMN",9.345
"ENVX",7.49
"CRK",18.46
"OMCL",35.85
"IGT",17.36
"EWTX",26.39
"IDYA",17.41
"SYBT",67.31
"TRMK",32.83
"KWR",133.365
"UPWK",13.275
"WSBC",30.83
"TGLS",64.22
"LZB",40.815
"SUPN",31.96
"LMAT",81.29
"FBK",45.46
"MIRM",43.78
"IIPR",72.13
"CABO",283.02
"ATRC",33.37
"MXL",11.68
"ALKT",23.98
"LC",10.435
"DRH",8.005
"GOLF",69.12
"UFPT",218.7994
"VSEC",115.62
"OFG",39.4
"KMT",21.94
"NMRK",12.59
"RXRX",5.905
"LGIH",75.06
"CHEF",53.015
"GRBK",60.725
"BATRK",39.15
"ABR",12.035
"ALG",185.225
"NEO",9.77
"ROCK",65.63
"DEI",15.96
"VYX",10.095
"DBRG",9.125
"CASH",71.05
"AGM",191.32
"REVG",30.705
"AVDX",7.005
"PRM",9.06
"TARS",44.48
"ROG",74.7
"WWW",13.51
"PRKS",47.07
"LTH",28.05
"APLD",6.215
"GERN",1.595
"AKRO",42.42
"MQ",3.87
"FL",16.12
"NGVT",45.62
"TDOC",8.865
"TFIN",59.19
"FBNC",38.96
"JOE",44.82
"LMND",34.07
"IART",22.615
"PRG",27.12
"PGNY",19.79
"DAN",13.375
"OI",11.48
"DFIN",45.875
"LKFN",61.4
"CHCO",116.83
"SONO",11.695
"BHE",39.115
"KN",16.28
"IOVA",3.82
"CWK",11.3
"DVAX",14.02
"SPT",23.43
"PEB",11.105
"WLY",46.5
"CSGS",61.18
"PD",16.57
"NWBI",11.9
"WKC",28
"WULF",3.025
"STR",19.54
"PLUG",1.6006
"ASAN",12.815
"NNI",115.1
"UCTT",22.92
"EPC",31.85
"NTB",37.005
"WAY",35.95
"PRDO",25.54
"TRUP",33.06
"ASTH",28.095
"UNFI",24.59
"KOS",2.225
"AESI",17.35
"NTCT",20.86
"THS",30.365
"FCF",15.475
"SKWD",47.38
"TNC",84.97
"ALGT",56.115
"GEF",55.49
"BCRX",7.385
"SSRM",9.76
"SGRY",23.48
"UPBD",25.44
"MNKD",5.005
"CENTA",32.47
"MLKN",19.98
"CLDX",19.31
"TVTX",18.085
"CUBI",48.15
"VRNT",21.64
"XHR",12.89
"BFH",47.29
"NIC",111.05
"KGS",35.07
"STC",68.39
"RLJ",8.96
"LTC",35.5201
"APGE",37.56
"ADNT",14.05
"VERA",27.825
"PHR",22.52
