"company","price"
"SFM",149.355
"INSM",79.22
"CRDO",52.685
"PCVX",74.41
"RKLB",20.106
"FTAI",123.54
"CRS",211.71
"AIT",248.34
"FN",197.355
"SSB",101.77
"FLR",37.7875
"GTLS",182.38
"MLI",81.865
"HQY",109.16
"IONQ",24.3752
"GKOS",113.195
"EXLS",48.471
"ENSG",130.8
"SPSC",135.35
"BPMC",91.86
"MOD",80.75
"BECN",115.39
"UFPI",107.54
"ONB",23.985
"CVLT",169.29
"SPXC",143.88
"HALO",59.76
"RVMD",40.13
"EAT",165.49
"TMHC",61.27
"RMBS",55.25
"LNTH",95.605
"AUR",7.49
"COOP",113.41
"CWST",113.94
"BMI",213.98
"CSWI",306.305
"SUM",52.49
"RHP",100.055
"ANF",101.33
"ALTM",5.835
"TRNO",67.78
"HLNE",159.75
"JXN",92.765
"MDGL",327.84
"FSS",81.84
"NXT",43.38
"ALTR",111.68
"GPI",459.89
"JBTM",132.84
"ESNT",57.785
"KNF",93.845
"MMSI",105.36
"HRI",142.04
"STRL",126.57
"MTH",71.84
"HIMS",42.04
"LUMN",5.1076
"GBCI",49.545
"CHX",29.8053
"CMC",48.85
"GH",43.54
"WTS",213.74
"SIGI",86.98
"GATX",167.16
"MARA",15.02
"ZWS",35.49
"QTWO",86.87
"ACIW",57.62
"HOMB",30.55
"EPRT",32.855
"BE",24.8
"SMTC",37.49
"CYTK",44.48
"UPST",66.56
"DY",165.72
"PIPR",292.5
"UMBF",111.66
"NOVT",145.92
"QLYS",131.81
"TENB",38.645
"KRG",23.5
"BBIO",34.45
"BCPC",173.955
"UBSI",36.73
"PRMB",33.06
"OPCH",34.4666
"ABG",267.2
"KTOS",26.64
"BIPC",40.2
"ALKS",34.87
"AVAV",146.94
"HWC",57.69
"CWAN",31.39
"LRN",140.67
"SOUN",11.1299
"WK",88.69
"CORT",60.805
"CADE",33.27
"BCC",103.54
"CNR",73.06
"BOOT",121.47
"CTRE",26.31
"KTB",63.9
"RDN",33.49
"AROC",27.265
"BDC",109.94
"IBP",168.61
"ITRI",109.14
"VRNS",42.37
"ACA",83.13
"CBT",83.74
"MAC",18.45
"SKY",101.78
"SM",31.61
"ITGR",123.945
"SITM",160.08
"NSIT",153.8
"FFIN",38.48
"PRIM",71.61
"SLG",64.56
"AEIS",112.11
"EXPO",83.845
"MMS",64.86
"NJR",49.06
"SHAK",106.775
"NE",25
"SKYW",99.65
"MATX",142.5201
"SLAB",139.145
"CALM",90.33
"SANM",78.67
"MGY",23.235
"SFBS",93.095
"PECO",37.46
"VLY",9.865
"FTDR",42.46
"KBH",60.88
"IDCC",212.915
"FELE",102.78
"KAI",377.57
"FCFS",113.41
"BOX",32.99
"AHR",30.67
"VRRM",23.055
"SWX",76.21
"MUR",26.06
"RDNT",52.85
"STEP",60.775
"MC",70.385
"IRT",21.795
"GEO",27.3
"POR",45.23
"ESGR",332.6
"ABCB",65.475
"CNX",28.795
"NARI",79.97
"TXNM",52.26
"FUN",43.945
"CNO",42.36
"WHD",52.76
"RXO",20.475
"PLXS",130.97
"GVA",82.805
"BCO",91.97
"ASB",24.94
"TGTX",36.185
"SBRA",16.815
"CBZ",77.82
"BKH",61.82
"SR",77.965
"ENS",101.195
"ASGN",65.92
"GLNG",37.58
"NOG",30.43
"OGS",76.47
"CVCO",526.01
