"company","price"
"SFM",158.43
"INSM",70.375
"CRDO",37.34
"PCVX",29.055
"RKLB",19.8214
"FTAI",91.405
"CRS",170.96
"AIT",216.12
"FN",182.975
"SSB",83.825
"FLR",33.31
"GTLS",122.88
"MLI",70.69
"HQY",82.09
"IONQ",24.54
"GKOS",87.21
"EXLS",45.325
"ENSG",128.67
"SPSC",127.415
"BPMC",80.98
"MOD",74.52
"BECN",122.98
"UFPI",102.91
"ONB",19.3
"CVLT",150.645
"SPXC",127.05
"HALO",58
"RVMD",35.86
"EAT",149.4373
"TMHC",54.57
"RMBS",45.6375
"LNTH",100.06
"AUR",5.885
"COOP",111.17
"CWST",118.33
"BMI",183.595
"CSWI",292.52
"RHP",84.22
"ANF",69.12
"ALTM",5.84
"TRNO",56.82
"HLNE",134.74
"JXN",71.635
"MDGL",299.99
"FSS",74.86
"NXT",39.68
"ALTR",111.85
"GPI",389.74
"JBTM",95.22
"ESNT",54.88
"KNF",91.74
"MMSI",90.47
"HRI",116.16
"STRL",138.84
"MTH",62.67
"HIMS",27.27
"LUMN",3.275
"GBCI",39.09
"CHX",24.7
"CMC",41.75
"GH",44.79
"WTS",197.58
"SIGI",89.4
"GATX",148.61
"MARA",12.345
"ZWS",29.585
"QTWO",74.34
"ACIW",51.13
"HOMB",26.04
"EPRT",31.63
"BE",17.6799
"SMTC",25.94
"CYTK",38.74
"UPST",39.215
"DY",150.26
"PIPR",222.9
"UMBF",90.34
"NOVT",112.895
"QLYS",120.16
"TENB",31.85
"KRG",21.01
"BBIO",33.39
"BCPC",160.695
"UBSI",33.24
"PRMB",33.02
"OPCH",32.24
"ABG",215.2
"KTOS",32.925
"BIPC",35.48
"ALKS",26.875
"AVAV",141.86
"HWC",47.6
"CWAN",23.02
"LRN",135.3328
"SOUN",7.6699
"WK",67.235
"CORT",64.88
"CADE",27.795
"BCC",92.14
"CNR",73
"BOOT",88.98
"CTRE",28.605
"KTB",53.64
"RDN",31.66
"AROC",23.49
"BDC",92.7
"IBP",156.74
"ITRI",100.35
"VRNS",40.7
"ACA",76.69
"CBT",78.31
"MAC",14.3275
"SKY",80.87
"SM",22.24
"ITGR",115.68
"SITM",129.95
"NSIT",132.515
"FFIN",32.57
"PRIM",57.27
"SLG",52.1
"AEIS",84.56
"EXPO",79.23
"MMS",67.54
"NJR",50.03
"SHAK",80.18
"NE",19.385
"SKYW",84.325
"MATX",97.71
"SLAB",88.5325
"CALM",92.5
"SANM",74.47
"MGY",20.74
"SFBS",68.705
"PECO",35.48
"VLY",8.195
"FTDR",39.13
"KBH",50.06
"IDCC",199.14
"FELE",86.78
"KAI",306.64
"FCFS",119.96
"BOX",30.05
"AHR",30.04
"VRRM",21.51
"SWX",73.63
"MUR",20.715
"RDNT",50.975
"STEP",46.56
"MC",50.96
"IRT",18.91
"GEO",29.445
"POR",43.315
"ESGR",333.4575
"ABCB",52.63
"CNX",31.175
"NARI",79.97
"TXNM",52.575
"FUN",32.04
"CNO",38.135
"WHD",36.53
"RXO",12.99
"PLXS",119.88
"GVA",76.72
"BCO",85.755
"ASB",19.505
"TGTX",37.865
"SBRA",18.08
"CBZ",78.82
"BKH",60.08
"SR",77.7631
"ENS",81.48
"ASGN",58.6
"GLNG",36.895
"NOG",22.88
"OGS",77.63
"CVCO",467.41
"AVNT",30.5751
"PJT",128.39
"KRYS",164.915
"ALE",64.9
"ASO",36.42
"AXSM",103.51
"AX",58.675
"INTA",50.94
"PBH",80.055
"ATGE",106.9
"AI",19.345
"ORA",70.665
"MIR",13.69
"JOBY",5.75
"NPO",142.54
"FRSH",12.56
"URBN",47.24
"ADMA",21.01
"RIOT",6.315
"KFY",61.785
"MWA",24.775
"RUSHA",51.56
"CRC",34.92
"MHO",102.79
"HAE",57.41
"ATMU",33.2
"LBRT",11.38
"UCB",24.67
"ICUI",138.25
"PTEN",5.825
"ROAD",77.2325
"IBOC",58.43
"TDS",36.34
"POWI",44.3
"RELY",19.66
"TCBI",64.83
"PTCT",45.55
"SKT",31.915
"SRRK",29.13
"BHVN",18.615
"ESE",149.13
"REZI",15.1
