"company","price"
"SFM",153.655
"INSM",66.245
"CRDO",40.105
"PCVX",30.76
"RKLB",19.89
"FTAI",102.73
"CRS",163.07
"AIT",222.48
"FN",195.185
"SSB",85.2075
"FLR",33.09
"GTLS",128.78
"MLI",73.095
"HQY",81.84
"IONQ",24.0219
"GKOS",88.055
"EXLS",44.03
"ENSG",129.1201
"SPSC",133.13
"BPMC",80.43
"MOD",79.6
"BECN",122.91
"UFPI",106.88
"ONB",18.945
"CVLT",153.675
"SPXC",131.09
"HALO",60.01
"RVMD",33.35
"EAT",144.32
"TMHC",56.96
"RMBS",48.3774
"LNTH",98.67
"AUR",6.1
"COOP",111.095
"CWST",109.93
"BMI",182.525
"CSWI",276.055
"SUM",52.49
"RHP",83.4125
"ANF",74.36
"ALTM",5.84
"TRNO",53.565
"HLNE",139.385
"JXN",74.145
"MDGL",318.4542
"FSS",75.41
"NXT",38.855
"ALTR",111.85
"GPI",412.255
"JBTM",96.52
"ESNT",54.71
"KNF",88.54
"MMSI",92.55
"HRI",124.03
"STRL",130.465
"MTH",66.115
"HIMS",28.72
"LUMN",3.725
"GBCI",40.26
"CHX",24.36
"CMC",43.44
"GH",43.49
"WTS",192.75
"SIGI",86.9
"GATX",149.54
"MARA",11.6301
"ZWS",29.815
"QTWO",74.75
"ACIW",51.69
"HOMB",26.37
"EPRT",30.165
"BE",17.265
"SMTC",28.92
"CYTK",36.965
"UPST",41.2624
"DY",153.1
"PIPR",228.99
"UMBF",91.885
"NOVT",114.07
"QLYS",123.74
"TENB",33.265
"KRG",20.155
"BBIO",31.25
"BCPC",159.66
"UBSI",33.13
"PRMB",33.84
"OPCH",33.675
"ABG",230.02
"KTOS",31.37
"BIPC",34.79
"ALKS",27.99
"AVAV",135.42
"HWC",49
"CWAN",23.37
"LRN",131.885
"SOUN",7.99
"WK",68.495
"CORT",71.37
"CADE",27.945
"BCC",96.652
"CNR",70.615
"BOOT",100.74
"CTRE",27.675
"KTB",57.31
"RDN",31.96
"AROC",22.985
"BDC",93.73
"IBP",172.67
"ITRI",98.04
"VRNS",40.99
"ACA",76.52
"CBT",80.81
"MAC",14.1
"SKY",85.57
"SM",23.09
"ITGR",112.985
"SITM",135.09
"NSIT",134.8
"FFIN",33.35
"PRIM",58.04
"SLG",49.6
"AEIS",88.87
"EXPO",79.515
"MMS",67.77
"NJR",47.945
"SHAK",82.98
"NE",19.995
"SKYW",87.705
"MATX",107.335
"CALM",93.37
"SANM",76.355
"MGY",21.21
"SFBS",72.685
"PECO",34.57
"VLY",8.3
"FTDR",38.91
"KBH",54.0992
"IDCC",199.84
"FELE",89.5
"KAI",321.185
"FCFS",119.03
"BOX",30
"AHR",28.705
"VRRM",22.28
"SWX",69.39
"MUR",22.05
"RDNT",51.82
"STEP",46.925
"MC",51.93
"IRT",18.495
"GEO",28.42
"POR",42.26
"ESGR",332.49
"ABCB",53.81
"CNX",29.475
"NARI",79.97
"TXNM",50.715
"FUN",32.6
"CNO",38.68
"WHD",37.73
"RXO",13.83
"PLXS",121.11
"GVA",77.46
"BCO",86.58
"ASB",20.095
"TGTX",35.11
"SBRA",17.04
"CBZ",74.76
"BKH",57.93
"SR",75.06
"ENS",84.375
