"company","price"
"SFM",142.39
"INSM",79.92
"CRDO",46.34
"PCVX",74.66
"RKLB",18.94
"FTAI",107.23
"CRS",183.81
"AIT",224.54
"FN",220.7
"SSB",92.45
"FLR",37.66
"GTLS",155.18
"MLI",77.25
"HQY",84.88
"IONQ",22.26
"GKOS",102.26
"EXLS",46.34
"ENSG",128.24
"SPSC",130.13
"BPMC",88.72
"MOD",88.57
"BECN",123.77
"UFPI",107.5
"ONB",21.2
"CVLT",161.52
"SPXC",134.27
"HALO",65.16
"RVMD",38.11
"EAT",144.81
"TMHC",59.49
"RMBS",56.72
"LNTH",97.71
"AUR",7.23
"COOP",104.19
"CWST",110.46
"BMI",189.49
"CSWI",292.79
"SUM",52.49
"RHP",94.48
"ANF",79.38
"ALTM",5.84
"TRNO",62.69
"HLNE",150.64
"JXN",85.58
"MDGL",341.62
"FSS",75.36
"NXT",44.27
"ALTR",111.75
"GPI",400.34
"JBTM",124.13
"ESNT",55.59
"KNF",91.11
"MMSI",101.68
"HRI",135.61
"STRL",126.63
"MTH",70.38
"HIMS",34.75
"LUMN",4.92
"GBCI",44.3
"CHX",29.54
"CMC",46.59
"GH",46.1
"WTS",206.95
"SIGI",88.71
"GATX",154.91
"MARA",12.38
"ZWS",33.46
"QTWO",79.21
"ACIW",53.05
"HOMB",28
"EPRT",31.73
"BE",23.95
"SMTC",39.62
"CYTK",45.43
"UPST",51.96
"DY",156.24
"PIPR",259.07
"UMBF",102.35
"NOVT",133.52
"QLYS",127.915
"TENB",36.25
"KRG",22.09
"BBIO",34.77
"BCPC",161.17
"UBSI",34.38
"PRMB",32.29
"OPCH",34.58
"ABG",233.76
"KTOS",30.81
"BIPC",35.36
"ALKS",34.6
"AVAV",125.01
"HWC",52.3
"CWAN",26.49
"LRN",121.96
"SOUN",9.86
"WK",87.23
"CORT",58.66
"CADE",30.32
"BCC",99.46
"CNR",73.32
"BOOT",104.73
"CTRE",28.64
"KTB",63.7
"RDN",32.02
"AROC",26.41
"BDC",101.8
"IBP",172.24
"ITRI",105.76
"VRNS",41
"ACA",79.66
"CBT",82.21
"MAC",17.21
"SKY",94.19
"SM",30.67
"ITGR",115.16
"SITM",178.26
"NSIT",154.18
"FFIN",35.7
"PRIM",63.62
"SLG",57.39
"AEIS",105.26
"EXPO",78.9
"MMS",67.24
"NJR",48.48
"SHAK",90.7
"NE",24.15
"SKYW",91.12
"MATX",129.23
"SLAB",123.57
"CALM",89.2
"SANM",78.31
"MGY",25.12
"SFBS",81.78
"PECO",34.93
"VLY",8.85
"FTDR",38.09
"KBH",59.75
"IDCC",217.35
"FELE",95.56
"KAI",335.28
"FCFS",116.87
"BOX",30.37
"AHR",29.61
"VRRM",21.07
"SWX",75.13
"MUR",26.7
"RDNT",49.25
"STEP",53.87
"MC",60.89
"IRT",20.73
"GEO",28.23
"POR",43.74
"ESGR",332.05
"ABCB",57.78
"CNX",31.73
"NARI",79.97
"TXNM",54
"FUN",37.44
"CNO",40.99
"WHD",45.92
"RXO",18.59
"PLXS",128.21
"GVA",76.2
"BCO",83.83
"ASB",22.51
"TGTX",42.99
"SBRA",17.26
"CBZ",73
"BKH",59.23
"SR",76.41
"ENS",96.26
"ASGN",63.66
"GLNG",37.76
"NOG",30.11
"OGS",73.08
"CVCO",512.89
"AVNT",38.39
"PJT",144.02
"KRYS",187.15
"ALE",65.69
"ASO",47.23
"AXSM",126.79
"AX",64.21
"INTA",60.95
"PBH",84.21
"ATGE",98.81
"AI",22.62
"ORA",71.64
"MIR",15.22
"JOBY",6.64
"NPO",172.26
"FRSH",15.54
"URBN",49.13
"ADMA",19.8
"RIOT",7.95
"KFY",66.6
"MWA",26.84
"RUSHA",53.43
"CRC",43.76
"MHO",115.88
"HAE",64
"ATMU",37.51
"LBRT",14.63
"UCB",27.98
"ICUI",147.07
"PTEN",8.38
"ROAD",73.83
"IBOC",63.44
"TDS",36.84
"POWI",54.88
"RELY",20.33
"TCBI",75.88
"PTCT",57.14
"SKT",31.88
"SRRK",33.05
"BHVN",28.54
"ESE",159.44
"REZI",17.88
"BL",50.29
"APLE",13.33
"TPH",31.41
"IRTC",104.49
"CARG",30.11
"HP",24.8
"CRNX",34.42
"PCH",44.52
"SATS",26.46
"SMPL",33
"EBC",16.59
"FUL",53.57
"ABM",46.94
"LANC",175.33
"VCYT",31.82
"CDP",26.75
"UNF",197.22
"GMS",72.54
"NWE",55.32
"ZETA",14.43
"SYNA",64.1
"DORM",125.45
"RNA",30.84
"FORM",31.11
"CCOI",68.31
"OSCR",13.04
"TEX",39.09
"ACVA",15.31
"UEC",5.53
"CNK",26.05
"FULT",18.02
"OTTR",80.87
"TRN",29.38
"CBU",57.59
"HL",5.76
"RYTM",52.04
"PI",90.25
"SXT",72.78
"MGEE",91.31
"BXMT",20.74
"WDFC",230.67
"PATK",85.08
"ATKR",62.61
"AMBA",54.26
"VERX",35.71
"TWST",42.89
"PBF",20.76
"PRCT",58.1
"SNEX",117.33
"BLKB",63.13
"HASI",29.3
"AEO",12.12
"WD",85.82
"TGNA",18.57
"BNL",16.86
"HBI",6.04
"NMIH",35.29
"OSIS",193.78
"CRVL",107.86
"BGC",9.35
"AUB",32.01
"SHOO",25.03
"BRZE",37.03
"TNET",76.69
"VSCO",20.92
"SG",24.94
"HGV",37.63
"PTON",6.96
"VAL",39.64
"MGRC",113.405
"PFSI",101.01
"NHI",73.34
"ALIT",6.06
"NUVL",77.96
"GHC",939.81
"GFF",70.8
"ALRM",56.54
"CORZ",8.51
"WSFS",52.05
"FBP",18.86
"HCC",46.65
"DNLI",14.43
"HEES",95.03
"NVCR",19.33
"NSP",86.6
"IOSP",96.01
"BUR",13.83
"SLVM",65.36
"ENVA",97.43
"CLSKW",0.34
"HTLF",64.67
"AVA",39.7
"ACLX",69.33
"FOLD",9.005
"CVBF",18.7
"VCEL",46.26
"OUT",16.25
"VCTR",59.87
"RIG",3.19
"DIOD",45.3
"DRS",33
"HUBG",37.47
"CATY",43.28
"SFNC",20.39
"BWIN",43.89
"PAYO",7.46
"AKR",21.09
"FCPT",28.11
"POWL",184.22
"OII",21.5
"TDW",42.07
"BKU",34.68
"APAM",40.34
"CRGY",11.46
"PLMR",129.32
"LIVN",39.48
"GT",9.14
"ASTS",25.71
"USD",47.45
"WNS",62.51
"LCII",88.16
"AWR",75.44
"GNW",6.93
"SDRL",25.17
"INDB",63.07
"CPK",124.07
"UE",18.67
"TTMI",22.77
"CON",20.82
"SIG",58.06
"IPAR",118.39
"FIBK",28.7
"ARWR",14.8
"AZZ",82.44
"NEOG",8.85
"COMP",9.39
"DOCN",36.89
"BOH",68.44
"CNS",78.92
"KNTK",52.73
"TBBK",54.93
"YELP",35.75
"CWT",46.07
"CAKE",48.7
"AIN",70.85
"IESC",184.26
"TOWN",34.47
"FFBC",24.75
"CPRX",24.23
"GPOR",183.59
"HI",25.77
"LAUR",19.31
"ENR",29.53
"MYRG",127.04
"SWTX",49.89
"LXP",8.73
"STNE",11.1
"KLIC",35.76
"CDE",6.21
"JBLU",5.43
"HNI",43.36
"AIR",67.93
"SMR",18.13
"BTU",14
"BANF",109.61
"PRK",153.83
"PDCO",31.16
"RPD",28.29
"ZD",41.82
"PAR",61.74
"EPAC",42.25
"MTX",65.13
"SHO",9.73
"ARCB",71.66
"FRME",40.24
"NATL",27.12
"AVPT",15.05
"CXW",20.01
"ICFI",84.04
"RRR",44.25
"CALX",35.86
"VIAV",11.62
"WRBY",18.9
"TNDM",20.29
"PRVA",23.34
"VC",80.28
"ACHR",8.72
"ACLS",55.9
"FLG",12.14
"GSHD",116.54
"PRGS",54.43
"WERN",29.57
"HWKN",105.77
"CURB",23.3
"IVT",28.57
"SBCF",25.96
"SMMT",19.75
"ACAD",16.79
"PSMT",83.71
"EXTR",14.89
"FLYW",9.96
"KAR",20.59
"PPBI",21.62
"MRCY",45.29
"RAMP",27.18
"HURN",140.87
"AGX",120.6
"PTGX",52.65
"SXI",164.72
"MBC",13.35
"B",47.48
"AMR",125.06
"ADUS",89.83
"MGNI",13.3
"ROIC",17.49
"GBX",53.84
"CCS",68.96
"STRA",82.37
"VSH",16.86
"BANR",63.77
"PLUS",64.15
"RNST",35.05
"AGYS",73.73
"EFSC",55.03
"CNMD",59.64
"RGTI",9.07
"YOU",25.68
"JJSF",126.71
"STNG",39.65
"PFS",16.92
"PHIN",44.51
"SEM",16.56
"MTRN",85.63
"BANC",14.09
"KYMR",32.54
"NBTB",42.8
"HUT",12.9
"TMDX",69.05
"EVTC",37.24
"RUN",6.59
"OSW",17.5
"BEAM",23.3
"AGIO",31.3
"WAFD",27.66
"LGND",108.15
"HLMN",8.98
"ENVX",8.45
"CRK",19.92
"OMCL",33.94
"IGT",17.05
"EWTX",23.61
"IDYA",18.39
"SYBT",69.07
"TRMK",34.01
"KWR",129.28
"UPWK",13.57
"WSBC",31.55
"TGLS",71.75
"LZB",38.42
"SUPN",32.15
"LMAT",83.49
"FBK",47.22
"MIRM",47.02
"IIPR",63.61
"CABO",256.05
"ATRC",33.54
"MXL",12.7
"ALKT",26.55
"LC",11.08
"DRH",7.9
"GOLF",65.62
"UFPT",198.85
