"company","price"
"SFM",134.085
"INSM",75.43
"CRDO",45.2144
"PCVX",72.98
"RKLB",17.66
"FTAI",101.68
"CRS",177.44
"AIT",220.19
"FN",223.18
"SSB",90
"FLR",35.025
"GTLS",143.558
"MLI",79.015
"HQY",94.855
"IONQ",21.74
"GKOS",98.11
"EXLS",45.53
"ENSG",125.81
"SPSC",123.705
"BPMC",90.335
"MOD",83.225
"BECN",118.3941
"UFPI",105.505
"ONB",20.35
"CVLT",149.49
"SPXC",132.46
"HALO",61.46
"RVMD",39.14
"EAT",134.74
"TMHC",58.24
"RMBS",52.42
"LNTH",100.71
"AUR",6.185
"COOP",98.83
"CWST",106.075
"BMI",196.2756
"CSWI",286.025
"SUM",52.49
"RHP",94.71
"ANF",75.905
"ALTM",5.84
"TRNO",65.275
"HLNE",139.72
"JXN",79.4101
"MDGL",330.75
"FSS",75.78
"NXT",44.585
"ALTR",111.22
"GPI",385
"JBTM",121.345
"ESNT",54.31
"KNF",88.46
"MMSI",97.37
"HRI",122.27
"STRL",116.165
"MTH",69.75
"HIMS",31.97
"LUMN",4.67
"GBCI",44.34
"CHX",28.46
"CMC",44.41
"GH",41.68
"WTS",207.07
"SIGI",85.705
"GATX",150
"MARA",12.41
"ZWS",32.71
"QTWO",73.12
"ACIW",51.28
"HOMB",28
"EPRT",30.805
"BE",23.98
"SMTC",32.825
"CYTK",44
"UPST",46.965
"DY",147.19
"PIPR",253.04
"UMBF",98.96
"NOVT",134.82
"QLYS",122.96
"TENB",35.615
"KRG",21.385
"BBIO",32.605
"BCPC",167.015
"UBSI",34.23
"PRMB",31.41
"OPCH",32.6
"ABG",229.58
"KTOS",29.53
"BIPC",34.64
"ALKS",33.65
"AVAV",123.57
"HWC",50.01
"CWAN",26.5752
"LRN",117.64
"SOUN",8.965
"WK",85.88
"CORT",55.035
"CADE",29.595
"BCC",96.65
"CNR",72.08
"BOOT",100.55
"CTRE",27.81
"KTB",59.745
"RDN",31.31
"AROC",24.11
"BDC",99.995
"IBP",171.18
"ITRI",103.87
"VRNS",39.467
"ACA",79.165
"CBT",81.5
"MAC",16.26
"SKY",92.06
"SM",28.49
"ITGR",118.38
"SITM",161.02
"NSIT",150.96
"FFIN",35.39
"PRIM",65.12
"SLG",55.525
"AEIS",101.82
"EXPO",81.87
"MMS",66.72
"NJR",48.05
"SHAK",82.725
"NE",22.375
"SKYW",83.805
"MATX",129.64
"SLAB",122.17
"CALM",81.44
"SANM",73.92
"MGY",22.44
"SFBS",81.3
"PECO",34.505
"VLY",8.595
"FTDR",37.52
"KBH",60.195
"IDCC",208.53
"FELE",98.765
"KAI",342.43
"FCFS",113.34
"BOX",30.53
"AHR",29.03
"VRRM",20.22
"SWX",73.63
"MUR",24.88
"RDNT",46.31
"STEP",51.2114
"MC",59.01
"IRT",20.58
"GEO",25.6
"POR",44.28
"ESGR",332.065
"ABCB",55.715
"CNX",29.655
"NARI",79.97
"TXNM",50.9
"FUN",35.04
"CNO",39.03
"WHD",43.61
"RXO",18.26
"PLXS",121.26
"GVA",72.2
"BCO",84.3125
"ASB",21.44
"TGTX",38.2
"SBRA",16.925
"CBZ",68.81
"BKH",59.28
"SR",74.74
"ENS",94.19
"ASGN",67.15
"GLNG",32.95
"NOG",28.225
"OGS",72.205
"CVCO",494.84
"AVNT",39.58
"PJT",140.605
"KRYS",179.415
"ALE",65.33
"ASO",43.945
"AXSM",122.38
"AX",61.935
"INTA",58.525
"PBH",82.76
"ATGE",93.5188
"AI",21.105
"ORA",71.83
"MIR",14.1203
"JOBY",6.005
"NPO",168.76
"FRSH",14.45
"URBN",50.365
"ADMA",18.18
"RIOT",7.505
"KFY",66.77
"MWA",26.5
"RUSHA",51.845
"CRC",41.88
"MHO",115.575
"HAE",65.78
"ATMU",36.35
"LBRT",13.94
"UCB",28.145
"ICUI",140.045
"PTEN",7.645
"ROAD",68.9426
"IBOC",61.5
"TDS",33.88
"POWI",56.97
"RELY",19.64
"TCBI",72.01
"PTCT",53.04
"SKT",32.04
"SRRK",34.64
"BHVN",28.44
"ESE",157.285
"REZI",17.09
"BL",47.67
"APLE",13.295
"TPH",31.145
"IRTC",98.13
"CARG",30.48
"HP",24.861
"CRNX",35.05
"PCH",44.35
"SATS",26.22
"SMPL",34.2108
"EBC",15.935
"FUL",52.85
"ABM",46.815
"LANC",179.295
"VCYT",30.55
"CDP",26.4045
"UNF",203
"GMS",70.265
"NWE",55.71
"ZETA",13.89
"SYNA",62.01
"DORM",127.3275
"RNA",33.08
"FORM",30.805
"CCOI",68.15
"OSCR",12.919
"TEX",39.29
"ACVA",14.235
"UEC",5.175
"CNK",23.695
"FULT",17.605
"OTTR",81.81
"TRN",28.94
"CBU",56.5099
"HL",5.775
"RYTM",50.5897
"PI",89.965
"SXT",73.375
"MGEE",92.04
"BXMT",20.07
"WDFC",238.01
"PATK",83.39
"ATKR",63.18
"AMBA",52.9
"VERX",32.99
"TWST",39.73
"PBF",19.555
"PRCT",56.315
"SNEX",108.14
"BLKB",63.745
"HASI",28.6458
"AEO",11.03
"WD",85.6
"TGNA",17.505
"BNL",16.74
"HBI",5.755
"NMIH",34.81
"OSIS",171.435
"CRVL",104.88
"BGC",8.5591
"AUB",32.085
"SHOO",25.77
"BRZE",33.21
"TNET",73.465
"VSCO",17.875
"SG",23.5577
"HGV",34.03
"PTON",6.035
"VAL",36.22
"MGRC",110.64
"PFSI",95.15
"NHI",73.49
"ALIT",5.935
"NUVL",74.385
"GHC",903.455
"GFF",68.43
"ALRM",58.59
"CORZ",8.785
"WSFS",51.15
"FBP",17.805
"HCC",47.74
"DNLI",14.92
"HEES",93.06
"NVCR",20.22
"NSP",87.2
"IOSP",96.99
"BUR",13.33
"SLVM",63.79
